Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
108,Al Horford\horfoal01,PHI,11,7,27.8,3.8,7.3,.525,0.9,2.1,.435,0.9,1.3,.714,1.8,4.8,6.6,3.2,0.1,1.0,1.6,2.5,9.5,8.8
109,Danuel House\houseda01,HOU,14,9,32.4,4.4,10.1,.430,2.5,6.9,.361,1.1,1.3,.833,0.8,4.4,5.2,1.4,0.8,0.1,0.9,2.5,12.3,8.8
110,Frank Mason\masonfr01,MIL,5,0,13.5,3.6,6.4,.563,0.8,2.2,.364,1.6,2.6,.615,0.4,1.8,2.2,3.8,0.6,0.2,1.0,1.4,9.6,8.8
111,Cameron Payne\payneca01,PHO,8,0,22.9,4.1,8.5,.485,1.9,3.6,.517,0.8,0.9,.857,0.5,3.4,3.9,3.0,1.0,0.3,1.4,2.5,10.9,8.8
112,Norman Powell\powelno01,TOR,19,3,25.4,4.6,9.8,.473,1.9,4.7,.416,2.3,2.7,.827,0.4,2.5,2.9,1.3,0.6,0.4,1.3,2.3,13.5,8.8
113,Duncan Robinson\robindu01,MIA,29,29,28.2,3.9,8.6,.448,3.1,7.6,.406,1.8,2.0,.912,0.2,2.5,2.7,1.7,0.5,0.3,0.9,2.7,12.6,8.8
114,Jerome Robinson\robinje01,WAS,8,2,28.9,5.0,11.8,.426,2.3,6.1,.367,2.5,3.5,.714,0.5,2.4,2.9,2.8,0.8,0.4,1.9,3.6,14.8,8.8
115,Ben Simmons\simmobe01,PHI,3,3,28.8,4.7,10.0,.467,0.0,0.3,.000,2.3,4.7,.500,1.7,5.3,7.0,4.3,1.3,0.3,2.7,4.3,11.7,8.6
116,Monte Morris\morrimo01,DEN,27,8,23.7,3.9,8.0,.484,0.9,2.5,.338,1.9,2.3,.852,0.3,1.7,2.0,2.9,0.5,0.1,0.7,1.1,10.5,8.5
117,Jerami Grant\grantje01,DEN,26,18,33.4,4.3,9.7,.442,1.6,4.9,.323,2.6,3.0,.859,0.5,2.7,3.2,1.3,0.7,0.8,1.3,2.8,12.7,8.4
118,Daniel Theis\theisda01,BOS,24,24,27.7,3.6,6.7,.534,0.4,1.7,.244,1.3,1.7,.780,1.8,5.2,7.0,1.7,0.3,1.3,0.9,3.5,8.9,8.4
119,Darius Bazley\bazleda01,OKC,15,1,23.1,3.3,7.9,.424,2.0,4.2,.476,1.3,1.7,.800,0.7,5.7,6.5,1.2,0.2,0.6,0.7,0.8,10.0,8.3
120,Josh Hart\hartjo01,NOP,8,2,24.0,3.1,6.4,.490,1.3,3.6,.345,2.1,3.0,.708,0.9,6.0,6.9,1.8,0.5,0.3,1.3,2.0,9.6,8.3
121,Marco Belinelli\belinma01,SAS,5,0,21.0,3.4,8.6,.395,2.0,4.6,.435,3.2,3.4,.941,0.6,1.2,1.8,1.0,0.4,0.0,0.6,0.8,12.0,8.2
122,Jevon Carter\carteje01,PHO,8,0,23.9,2.4,4.8,.500,2.0,3.6,.552,0.3,0.3,1.000,0.6,1.9,2.5,2.4,1.1,0.5,0.1,1.3,7.0,8.1
123,Patty Mills\millspa02,SAS,3,0,18.3,3.7,7.3,.500,2.0,4.7,.429,1.3,1.3,1.000,1.0,2.0,3.0,2.0,0.3,0.0,1.0,2.3,10.7,8.1
124,Shake Milton\miltosh01,PHI,12,12,26.6,3.9,8.7,.452,1.7,4.5,.370,1.5,1.8,.857,0.4,2.3,2.8,3.7,0.3,0.1,1.3,3.0,11.0,7.8
125,Aaron Holiday\holidaa01,IND,12,9,26.7,3.6,7.3,.489,0.9,2.3,.407,1.3,1.7,.750,0.2,2.3,2.4,3.5,1.2,0.3,1.4,2.3,9.3,7.7
126,Raul Neto\netora01,PHI,7,0,18.4,3.6,8.0,.446,1.1,3.1,.364,1.9,2.3,.813,0.0,1.7,1.7,3.0,0.4,0.1,0.9,1.0,10.1,7.7
127,Seth Curry\curryse01,DAL,11,5,27.3,4.5,8.6,.516,1.7,3.8,.452,1.0,1.3,.786,0.3,1.3,1.5,1.2,0.7,0.1,0.9,2.4,11.6,7.6
128,Markelle Fultz\fultzma01,ORL,13,6,25.4,4.8,12.0,.404,0.9,2.5,.364,1.5,1.9,.800,0.5,2.3,2.8,4.7,0.9,0.3,2.2,2.8,12.2,7.6
129,George Hill\hillge01,MIL,17,3,25.7,2.8,6.3,.449,1.1,3.1,.346,2.2,2.6,.841,0.6,2.2,2.8,3.5,0.6,0.1,1.4,1.5,8.9,7.6
130,Drew Eubanks\eubandr01,SAS,8,0,17.7,2.8,4.9,.564,0.0,0.0,,1.5,1.9,.800,2.5,3.8,6.3,1.3,0.4,1.4,1.4,2.0,7.0,7.5
131,Buddy Hield\hieldbu01,SAC,8,0,21.4,5.3,12.5,.420,3.4,8.8,.386,0.4,0.6,.600,0.0,2.8,2.8,2.0,0.8,0.0,2.3,1.9,14.3,7.5
132,Hassan Whiteside\whiteha01,POR,11,3,18.5,2.8,4.5,.620,0.1,0.1,1.000,1.6,2.5,.643,1.9,4.5,6.5,0.5,0.3,1.7,0.8,3.1,7.4,7.5
133,Boban Marjanović\marjabo01,DAL,13,3,12.8,3.2,5.2,.618,0.0,0.2,.000,1.1,1.5,.737,1.5,4.6,6.1,0.9,0.1,0.4,0.5,1.4,7.5,7.3
134,Garrett Temple\templga01,BRK,11,8,29.1,3.7,10.2,.366,2.2,6.9,.316,1.7,1.8,.950,0.1,3.5,3.5,2.1,0.7,0.4,1.0,2.3,11.4,7.3
135,Zylan Cheatham\cheatzy01,NOP,1,0,20.4,4.0,4.0,1.000,0.0,0.0,,0.0,0.0,,2.0,1.0,3.0,1.0,1.0,0.0,1.0,5.0,8.0,7.2
136,Frank Jackson\jacksfr01,NOP,8,1,17.6,4.4,9.3,.473,1.0,3.0,.333,1.0,1.4,.727,0.4,1.1,1.5,2.5,0.3,0.0,0.8,1.3,10.8,7.2
137,Montrezl Harrell\harremo01,LAC,13,0,18.7,3.6,6.3,.573,0.1,0.4,.200,3.2,5.2,.603,0.8,2.1,2.9,0.4,0.4,0.5,0.9,2.2,10.5,7.1
138,Kyle Kuzma\kuzmaky01,LAL,28,2,24.4,4.1,9.3,.440,1.5,4.3,.353,1.7,2.2,.758,0.8,2.6,3.4,1.0,0.5,0.4,1.0,2.5,11.3,7.1
139,Kelly Olynyk\olynyke01,MIA,25,3,18.8,3.1,7.0,.443,1.3,3.9,.327,1.6,1.8,.848,0.8,4.2,5.0,1.5,0.4,0.5,0.8,2.6,9.1,7.1
140,Richaun Holmes\holmeri01,SAC,5,5,23.3,2.6,4.6,.565,0.0,0.0,,2.6,3.6,.722,1.8,4.8,6.6,0.6,0.4,0.2,0.6,3.4,7.8,6.9
141,Khem Birch\birchkh01,ORL,13,0,18.0,1.8,3.2,.571,0.0,0.0,,2.7,3.5,.778,2.3,2.7,5.0,1.7,0.4,0.2,1.0,2.2,6.4,6.8
142,Glenn Robinson\robingl02,PHI,2,0,21.4,3.5,7.0,.500,1.5,3.0,.500,1.0,1.5,.667,1.5,3.5,5.0,0.0,0.5,0.0,1.0,1.5,9.5,6.8
143,Lonnie Walker\walkelo01,SAS,8,8,27.6,4.5,11.3,.400,1.5,3.8,.400,0.8,1.0,.750,0.4,2.6,3.0,2.8,0.5,0.1,1.6,1.0,11.3,6.6
144,Lonzo Ball\balllo01,NOP,7,7,29.8,2.6,8.4,.305,1.3,4.6,.281,0.7,1.3,.556,1.1,3.9,5.0,6.6,1.1,1.1,3.0,2.6,7.1,6.5
145,Kentavious Caldwell-Pope\caldwke01,LAL,27,27,28.4,3.6,8.5,.417,1.9,5.1,.365,1.0,1.3,.794,0.3,1.7,2.0,1.3,0.9,0.2,0.8,1.9,10.0,6.4
146,Ed Davis\davised01,UTA,3,1,11.8,2.7,4.0,.667,0.0,0.0,,0.7,1.0,.667,2.0,1.3,3.3,1.3,0.3,0.0,0.0,2.0,6.0,6.4
147,Sindarius Thornwell\thornsi01,NOP,2,0,17.7,3.0,5.5,.545,1.0,2.0,.500,1.0,2.0,.500,0.0,2.0,2.0,2.0,0.5,0.5,1.0,1.0,8.0,6.4
148,James Ennis\ennisja01,ORL,13,13,25.5,3.4,7.7,.440,0.9,3.5,.261,1.8,2.2,.793,1.2,4.5,5.8,1.2,0.8,0.3,1.6,3.6,9.5,6.3
149,Maxi Kleber\klebima01,DAL,14,6,28.4,2.6,6.2,.414,1.2,4.2,.288,1.4,1.8,.760,1.6,3.5,5.1,1.4,0.5,0.9,1.0,3.1,7.7,6.3
150,T.J. McConnell\mccontj01,IND,11,0,15.1,2.5,5.2,.491,0.0,0.2,.000,0.5,0.7,.750,0.5,2.4,2.9,4.2,1.1,0.0,1.5,0.7,5.6,6.3
151,Nickeil Alexander-Walker\alexani01,NOP,6,1,15.0,3.5,6.5,.538,1.0,2.7,.375,1.3,1.5,.889,0.2,0.5,0.7,2.5,1.0,0.2,2.3,1.8,9.3,6.2
152,Jeremiah Martin\martije02,BRK,9,0,12.2,3.0,6.9,.435,0.9,2.4,.364,1.3,1.7,.800,0.1,1.1,1.2,2.2,0.7,0.2,0.7,1.0,8.2,6.2
153,Hamidou Diallo\diallha01,OKC,11,0,20.2,3.4,8.0,.420,0.9,2.5,.370,1.3,2.3,.560,1.5,3.1,4.6,1.4,0.8,0.3,1.5,1.7,8.9,6.1
154,Cory Joseph\josepco01,SAC,8,4,27.6,2.0,5.4,.372,1.1,3.1,.360,1.5,1.5,1.000,0.9,2.3,3.1,4.1,0.9,0.0,2.0,1.5,6.6,6.1
155,Kyle O'Quinn\oquinky01,PHI,4,1,15.1,1.8,3.3,.538,0.0,1.0,.000,0.3,0.3,1.000,0.5,4.3,4.8,4.3,0.5,0.5,1.0,1.3,3.8,6.1
156,Patrick Beverley\beverpa01,LAC,11,10,19.0,2.5,5.0,.509,1.2,2.7,.433,0.5,0.9,.600,0.9,2.7,3.6,2.1,0.8,0.3,0.8,3.4,6.8,6.0
157,Devontae Cacok\cacokde01,LAL,1,0,8.9,3.0,6.0,.500,0.0,0.0,,0.0,0.0,,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0
158,Paul Millsap\millspa01,DEN,26,26,24.0,2.7,6.5,.414,0.8,2.3,.356,2.0,2.7,.768,1.4,3.3,4.7,1.4,0.7,0.4,1.3,2.8,8.2,6.0
159,Royce O'Neale\onealro01,UTA,14,14,31.1,2.1,5.4,.395,1.4,3.9,.364,0.6,0.9,.750,0.6,5.7,6.3,2.6,1.5,0.4,1.7,3.4,6.4,6.0
160,Robert Williams\williro04,BOS,19,0,11.3,2.4,3.0,.789,0.0,0.1,.000,0.5,0.8,.667,1.5,2.3,3.7,0.8,0.3,0.7,0.4,1.5,5.3,6.0
161,Kyle Anderson\anderky01,MEM,8,8,23.7,2.4,6.4,.373,1.0,2.9,.348,1.1,1.5,.750,0.5,3.0,3.5,3.8,1.0,0.8,1.4,3.3,6.9,5.9
162,Gary Clark\clarkga01,ORL,12,9,23.7,2.3,5.4,.415,1.8,4.8,.386,0.4,0.5,.833,1.2,3.3,4.4,0.8,0.5,0.8,0.6,1.8,6.8,5.9
163,Justin Holiday\holidju01,IND,12,6,28.3,2.3,6.3,.373,1.7,4.9,.339,0.7,0.9,.727,0.5,3.4,3.9,0.8,1.5,0.8,0.6,2.2,7.0,5.9
164,Kent Bazemore\bazemke01,SAC,4,0,20.9,3.8,9.8,.385,1.5,4.0,.375,1.0,1.3,.800,0.8,3.5,4.3,2.0,1.0,0.3,1.5,3.5,10.0,5.8
165,Isaac Bonga\bongais01,WAS,8,8,28.0,2.8,6.3,.440,0.4,2.0,.188,2.1,2.6,.810,1.3,3.6,4.9,1.9,1.0,0.1,2.1,2.5,8.0,5.8
166,Chris Chiozza\chiozch01,BRK,11,2,19.7,2.8,7.7,.365,1.3,4.3,.298,0.5,0.6,.714,0.4,1.8,2.2,4.7,1.0,0.2,1.6,1.9,7.4,5.8
167,Jaxson Hayes\hayesja02,NOP,8,2,16.1,2.4,3.0,.792,0.0,0.0,,1.8,2.1,.824,1.9,2.6,4.5,0.6,0.4,0.3,1.5,2.4,6.5,5.8
168,Mike Scott\scottmi01,PHI,9,1,12.0,2.2,4.0,.556,0.8,1.7,.467,1.0,1.2,.818,1.0,2.4,3.4,1.0,0.2,0.0,0.2,1.4,6.2,5.8
169,Zach Collins\colliza01,POR,8,8,25.4,2.9,6.1,.469,0.5,1.5,.333,0.0,0.3,.000,2.6,4.5,7.1,1.3,0.6,0.4,1.0,3.1,6.3,5.7
170,P.J. Tucker\tuckepj01,HOU,20,20,33.9,2.5,7.0,.357,1.9,5.5,.339,0.1,0.2,.500,1.7,4.4,6.1,1.6,1.0,0.4,0.9,3.4,7.0,5.7
171,Brad Wanamaker\wanambr01,BOS,25,0,17.1,2.2,4.2,.529,0.6,1.6,.410,1.3,1.4,.889,0.2,2.0,2.2,2.0,0.8,0.2,1.0,1.8,6.3,5.7
172,Gorgui Dieng\dienggo01,MEM,5,0,16.9,1.6,4.2,.381,0.6,2.0,.300,3.4,3.6,.944,0.8,2.8,3.6,0.4,0.6,0.6,1.0,2.4,7.2,5.6
173,JaMychal Green\greenja01,LAC,21,1,19.0,2.7,5.0,.543,1.3,2.7,.491,0.5,0.6,.846,0.7,3.5,4.2,0.6,0.3,0.3,0.7,2.7,7.3,5.6
174,Chimezie Metu\metuch01,SAS,2,0,16.4,2.0,3.5,.571,0.0,0.5,.000,2.0,2.5,.800,1.0,2.5,3.5,2.0,1.0,1.0,2.5,1.5,6.0,5.6
175,Elie Okobo\okoboel01,PHO,1,0,12.0,0.0,0.0,,0.0,0.0,,4.0,4.0,1.000,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,5.6
176,Luka Šamanić\samanlu01,SAS,2,1,18.2,2.5,6.0,.417,1.5,3.0,.500,1.5,2.0,.750,0.5,3.5,4.0,1.5,0.0,1.0,1.0,3.0,8.0,5.6
177,Dwight Howard\howardw01,LAL,25,7,15.8,2.1,3.1,.688,0.0,0.1,.500,1.8,3.2,.582,1.9,3.4,5.3,0.5,0.5,0.4,1.1,3.1,6.1,5.5
178,Patrick Patterson\pattepa01,LAC,10,0,17.9,2.2,4.8,.458,1.5,3.3,.455,0.8,0.9,.889,0.5,2.6,3.1,1.4,0.1,0.0,0.3,1.4,6.7,5.5
179,Alex Caruso\carusal01,LAL,27,2,24.2,2.1,5.3,.403,0.7,2.7,.257,1.3,1.8,.729,0.7,1.5,2.2,3.0,1.2,0.5,1.4,2.5,6.3,5.4
180,J.J. Barea\bareajo01,DAL,4,2,16.1,2.8,7.3,.379,0.8,2.3,.333,1.5,1.8,.857,0.0,1.3,1.3,3.3,0.3,0.0,1.0,0.8,7.8,5.3
181,Michael Carter-Williams\cartemi01,ORL,3,0,20.0,2.0,6.0,.333,0.7,2.3,.286,2.3,2.7,.875,0.7,1.7,2.3,2.3,1.3,0.7,1.3,3.0,7.0,5.3
182,Danny Green\greenda02,LAL,28,28,24.4,2.8,7.8,.356,1.6,5.1,.322,0.4,0.7,.579,1.1,1.9,3.0,1.1,1.0,0.7,0.8,2.0,7.6,5.3
183,Udonis Haslem\hasleud01,MIA,1,1,23.5,3.0,5.0,.600,1.0,1.0,1.000,0.0,0.0,,1.0,7.0,8.0,0.0,0.0,0.0,1.0,3.0,7.0,5.3
184,Talen Horton-Tucker\hortota01,LAL,6,1,15.5,3.3,6.8,.488,1.0,2.8,.353,0.3,0.7,.500,0.3,1.7,2.0,0.7,1.5,0.2,1.0,2.3,8.0,5.3
185,Javonte Green\greenja02,BOS,5,1,11.8,3.0,6.0,.500,0.8,2.4,.333,1.0,1.2,.833,1.2,1.6,2.8,0.6,0.2,0.2,1.0,1.4,7.8,5.2
186,Enes Kanter\kanteen01,BOS,18,1,10.8,2.5,4.4,.570,0.1,0.1,1.000,0.7,1.1,.600,2.3,2.2,4.4,0.8,0.1,0.2,0.4,1.9,5.7,5.2
187,Chris Silva\silvach01,MIA,3,0,13.2,1.7,3.0,.556,0.0,0.3,.000,1.0,2.0,.500,2.0,3.7,5.7,0.7,0.0,1.0,0.3,1.7,4.3,5.2
188,Pat Connaughton\connapa01,MIL,16,3,18.4,2.1,4.7,.440,1.2,3.3,.365,0.4,0.4,1.000,0.6,3.4,4.0,1.4,0.4,0.2,0.6,1.4,5.7,5.1
189,Marvin Williams\willima02,MIL,16,0,18.6,1.9,4.1,.462,0.9,2.2,.400,0.3,0.4,.833,1.4,3.8,5.2,0.8,0.4,0.4,0.5,1.4,4.9,5.1
190,Tony Bradley\bradlto01,UTA,14,1,12.6,1.8,3.1,.581,0.1,0.1,1.000,0.6,0.9,.692,2.2,3.1,5.3,0.5,0.3,0.7,0.8,1.5,4.4,5.0
191,Marc Gasol\gasolma01,TOR,19,19,21.0,2.4,5.6,.421,0.6,2.5,.229,1.1,1.5,.750,0.3,4.7,5.0,2.7,0.6,0.6,1.7,2.9,6.4,5.0
192,Stanley Johnson\johnsst04,TOR,8,0,9.2,2.4,4.9,.487,0.9,2.0,.438,0.6,1.4,.455,0.6,1.8,2.4,2.3,0.3,0.3,1.0,1.1,6.3,5.0
193,Rodions Kurucs\kurucro01,BRK,12,6,20.1,2.5,5.3,.476,0.7,2.8,.242,0.6,1.0,.583,0.8,3.6,4.4,1.8,0.8,0.3,1.2,2.8,6.3,5.0
194,Yogi Ferrell\ferreyo01,SAC,6,0,7.6,2.0,3.2,.632,0.8,1.7,.500,0.7,0.8,.800,0.0,0.2,0.2,1.7,0.7,0.0,0.5,1.2,5.5,4.9
195,Furkan Korkmaz\korkmfu01,PHI,12,0,16.8,1.7,4.7,.357,1.4,3.8,.378,2.3,2.9,.771,0.2,2.0,2.2,0.9,0.5,0.1,0.8,1.0,7.0,4.9
196,Georges Niang\niangge01,UTA,15,1,17.7,2.9,6.7,.426,1.7,4.6,.362,0.2,0.3,.750,0.5,1.7,2.2,0.9,0.3,0.1,0.4,1.4,7.6,4.9
197,JaKarr Sampson\sampsja02,IND,12,2,15.0,2.5,4.2,.600,0.0,0.0,,0.6,0.6,1.000,0.5,3.0,3.5,1.3,0.8,0.3,0.8,2.6,5.6,4.9
198,Luguentz Dort\dortlu01,OKC,13,13,27.5,3.7,10.5,.350,1.6,6.0,.269,1.7,2.5,.688,1.1,2.7,3.8,0.9,0.8,0.6,1.7,3.4,10.7,4.8
199,Melvin Frazier\frazime01,ORL,4,0,18.7,2.3,4.3,.529,1.0,2.3,.444,0.0,0.0,,0.3,1.3,1.5,0.5,1.3,0.0,0.5,0.8,5.5,4.8
200,Wesley Iwundu\iwundwe01,ORL,12,3,18.3,2.2,4.9,.441,0.9,1.8,.500,1.8,2.4,.724,0.2,2.3,2.4,1.5,0.3,0.3,0.9,1.9,7.0,4.8
201,Džanan Musa\musadz01,BRK,8,0,15.3,2.0,5.5,.364,0.5,2.4,.211,2.8,3.8,.733,0.4,1.9,2.3,2.0,0.3,0.1,1.3,0.9,7.3,4.8
202,Jamal Crawford\crawfja01,BRK,1,0,6.0,2.0,4.0,.500,1.0,2.0,.500,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,4.7
203,Donta Hall\halldo01,BRK,8,0,13.1,2.1,2.9,.739,0.0,0.0,,0.8,2.0,.375,1.4,2.1,3.5,0.3,0.3,0.9,0.5,1.9,5.0,4.7
204,Ben McLemore\mclembe01,HOU,19,4,16.4,2.5,6.1,.417,2.2,5.2,.418,0.2,0.3,.600,0.2,1.4,1.5,0.5,0.6,0.2,0.4,1.7,7.4,4.7
205,Chris Boucher\bouchch01,TOR,14,0,9.8,1.8,3.6,.500,0.9,1.7,.500,0.6,1.0,.643,1.1,2.2,3.4,0.3,0.1,0.7,0.4,1.1,5.1,4.6
206,Harry Giles\gilesha01,SAC,8,0,11.0,2.9,5.5,.523,0.0,0.3,.000,0.6,0.8,.833,1.3,2.4,3.6,1.4,0.1,0.5,1.1,2.4,6.4,4.6
207,E'Twaun Moore\mooreet01,NOP,5,1,12.4,2.4,5.4,.444,0.6,1.4,.429,0.4,0.4,1.000,0.4,1.2,1.6,1.0,0.8,0.2,0.4,0.6,5.8,4.6
208,Miye Oni\onimi01,UTA,7,1,16.1,2.1,5.1,.417,1.1,3.1,.364,0.6,0.7,.800,1.0,1.7,2.7,0.6,0.7,0.4,0.6,1.6,6.0,4.6
209,Austin Rivers\riverau01,HOU,20,0,20.1,2.4,6.5,.369,1.1,3.7,.301,1.4,1.7,.824,0.2,3.0,3.2,1.7,0.7,0.1,1.2,2.0,7.3,4.6
210,Donte DiVincenzo\divindo01,MIL,17,3,19.0,2.7,6.4,.422,0.8,2.8,.298,0.9,1.6,.571,0.9,2.7,3.6,1.8,0.7,0.3,1.6,2.2,7.2,4.5
211,DaQuan Jeffries\jeffrda01,SAC,7,0,17.4,2.4,4.7,.515,0.6,2.0,.286,0.7,0.9,.833,0.3,2.1,2.4,0.9,0.4,0.1,0.3,2.3,6.1,4.5
212,Reggie Jackson\jacksre01,LAC,20,6,17.8,2.4,5.9,.410,1.5,3.2,.453,0.5,0.6,.909,0.2,2.1,2.3,1.8,0.3,0.1,0.8,1.9,6.8,4.4
213,Alize Johnson\johnsal02,IND,5,1,12.8,1.0,2.8,.357,0.6,1.6,.375,0.6,0.8,.750,1.8,4.2,6.0,1.0,0.6,0.4,0.8,1.2,3.2,4.4
214,Doug McDermott\mcderdo01,IND,11,0,16.8,2.7,6.5,.423,1.1,3.5,.308,0.5,0.5,.833,0.3,1.6,1.9,0.8,0.4,0.1,0.3,1.3,7.0,4.4
215,Shabazz Napier\napiesh01,WAS,5,2,22.1,3.6,8.6,.419,1.0,3.6,.278,2.0,2.4,.833,0.2,2.2,2.4,1.8,0.6,0.4,3.4,1.6,10.2,4.4
216,Dion Waiters\waitedi01,LAL,12,0,16.9,2.9,7.1,.412,0.6,2.8,.206,1.3,1.5,.889,0.2,1.1,1.3,1.6,0.4,0.4,1.2,1.5,7.8,4.4
217,Delon Wright\wrighde01,DAL,12,0,17.6,1.4,3.3,.425,0.3,1.0,.250,0.8,1.3,.600,0.4,1.6,2.0,2.6,1.2,0.1,0.8,1.0,3.8,4.4
