Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
218,Bol Bol\bolbo01,DEN,11,0,9.9,1.7,3.4,.514,0.5,1.1,.500,1.4,1.6,.833,0.7,1.5,2.2,0.5,0.4,0.7,1.1,1.1,5.4,4.3
219,Torrey Craig\craigto01,DEN,27,11,21.4,2.3,5.1,.439,0.7,2.6,.282,0.4,0.7,.611,1.0,2.5,3.5,1.0,0.4,0.4,0.4,2.5,5.7,4.3
220,PJ Dozier\doziepj01,DEN,20,0,15.1,2.2,5.0,.434,0.6,1.5,.414,1.1,1.6,.688,0.4,1.8,2.2,2.3,0.5,0.2,1.2,1.6,6.0,4.3
221,Gary Harris\harriga01,DEN,14,12,27.1,2.4,6.4,.378,1.4,3.7,.365,1.2,1.6,.773,0.5,1.5,2.0,1.7,1.1,0.3,1.5,3.2,7.4,4.3
222,Kevin Hervey\herveke01,OKC,3,0,10.9,2.0,5.3,.375,1.0,4.0,.250,0.0,0.0,,0.3,3.0,3.3,1.3,0.3,0.3,0.0,1.0,5.0,4.3
223,Mason Plumlee\plumlma01,DEN,27,0,13.5,1.6,2.9,.544,0.0,0.1,.000,0.6,1.1,.586,1.5,2.1,3.6,2.0,0.3,0.5,0.8,2.1,3.8,4.3
224,Andre Iguodala\iguodan01,MIA,28,0,20.3,1.5,3.6,.422,0.7,2.2,.306,0.3,0.5,.643,0.6,2.2,2.8,1.9,0.8,0.6,0.8,1.8,4.1,4.2
225,Wesley Matthews\matthwe02,MIL,15,15,23.5,2.1,5.2,.410,1.6,4.2,.381,0.7,1.0,.733,0.5,1.1,1.6,0.7,0.7,0.3,0.6,2.1,6.6,4.2
226,Matisse Thybulle\thybuma01,PHI,12,2,21.1,1.6,3.2,.500,0.6,1.6,.368,0.0,0.0,,0.8,1.5,2.3,0.9,1.4,0.7,0.7,2.3,3.8,4.2
227,Kyle Korver\korveky01,MIL,18,1,13.7,1.9,4.5,.432,1.6,3.7,.418,0.8,0.8,1.000,0.1,1.3,1.4,0.4,0.4,0.1,0.6,1.1,6.2,4.1
228,Alex Len\lenal01,SAC,6,3,12.6,1.5,2.8,.529,0.3,0.5,.667,1.7,2.3,.714,0.8,3.7,4.5,0.5,0.2,0.3,0.8,2.2,5.0,4.1
229,Paul Watson\watsopa01,TOR,7,0,10.0,1.6,2.9,.550,0.6,1.1,.500,0.9,1.0,.857,0.3,1.6,1.9,0.6,0.6,0.0,0.4,0.6,4.6,4.1
230,Dewan Hernandez\hernade01,TOR,2,0,8.5,2.0,4.5,.444,0.5,0.5,1.000,0.5,1.5,.333,1.5,2.0,3.5,1.5,0.0,0.0,1.0,0.0,5.0,4.0
231,B.J. Johnson\johnsbj01,ORL,3,0,13.3,1.7,5.3,.313,1.0,1.3,.750,2.3,2.7,.875,0.7,3.0,3.7,0.3,0.3,0.0,1.0,1.0,6.7,4.0
232,Terence Davis\daviste02,TOR,14,2,14.7,2.3,5.3,.432,1.0,2.8,.359,0.9,1.0,.929,0.4,1.9,2.4,1.1,0.6,0.1,1.2,2.2,6.5,3.9
233,Mario Hezonja\hezonma01,POR,11,0,15.7,1.8,4.6,.392,0.5,1.9,.238,0.8,1.1,.750,0.5,2.9,3.5,1.3,1.0,0.0,0.7,2.1,4.9,3.9
234,Rondae Hollis-Jefferson\holliro01,TOR,13,1,12.5,1.5,3.4,.455,0.1,0.5,.143,1.2,1.7,.727,1.0,2.0,3.0,1.5,0.3,0.2,0.8,1.2,4.4,3.9
235,Markieff Morris\morrima02,LAL,27,3,17.3,2.1,4.9,.443,1.3,3.2,.414,0.3,0.4,.727,0.7,2.4,3.1,0.9,0.3,0.2,0.7,2.5,5.9,3.9
236,DeMarre Carroll\carrode01,HOU,5,0,13.0,1.0,2.8,.357,0.2,1.2,.167,1.0,1.2,.833,0.2,2.0,2.2,1.6,0.8,0.2,0.2,1.0,3.2,3.8
237,Anthony Tolliver\tollian01,MEM,8,4,17.5,1.4,3.4,.407,1.3,3.0,.417,0.4,0.5,.750,0.5,2.1,2.6,1.1,0.5,0.0,0.5,1.3,4.4,3.8
238,Rayjon Tucker\tuckera01,UTA,8,0,11.8,1.8,3.6,.483,0.5,1.8,.286,2.0,2.3,.889,0.1,0.8,0.9,0.4,0.0,0.1,0.8,0.5,6.0,3.8
239,Sterling Brown\brownst02,MIL,8,0,13.1,1.9,4.9,.385,1.0,2.9,.348,0.6,0.6,1.000,0.4,2.0,2.4,0.6,0.9,0.0,0.8,1.1,5.4,3.7
240,Mike Muscala\muscami01,OKC,8,2,12.4,1.8,4.0,.438,1.5,3.0,.500,0.0,0.0,,0.4,1.9,2.3,0.9,0.1,0.1,0.4,1.1,5.0,3.7
241,Matt Thomas\thomama02,TOR,18,1,11.3,1.8,3.3,.533,0.9,2.0,.472,0.1,0.1,1.000,0.2,1.3,1.5,0.7,0.2,0.1,0.3,0.7,4.6,3.7
242,Jarrod Uthoff\uthofja01,WAS,3,0,13.1,2.0,3.7,.545,1.0,1.7,.600,0.0,0.0,,0.3,1.3,1.7,0.0,0.0,0.0,0.0,0.3,5.0,3.7
243,Justin Wright-Foreman\wrighju02,UTA,3,0,14.5,2.3,6.7,.350,0.7,3.3,.200,1.0,1.3,.750,0.0,1.7,1.7,2.3,0.7,0.0,1.0,1.7,6.3,3.6
244,Thanasis Antetokounmpo\antetth01,MIL,2,0,17.9,2.5,6.0,.417,0.0,1.5,.000,0.0,1.0,.000,0.5,2.0,2.5,3.0,0.5,0.0,0.5,2.5,5.0,3.5
245,Chris Clemons\clemoch01,HOU,6,0,7.9,1.3,3.5,.381,1.0,3.0,.333,0.8,1.0,.833,0.2,1.3,1.5,0.8,0.5,0.2,0.3,1.0,4.5,3.5
246,JaVale McGee\mcgeeja01,LAL,21,18,11.5,1.6,2.6,.618,0.0,0.1,.000,0.2,0.4,.556,1.4,2.4,3.8,0.5,0.3,0.6,0.8,1.7,3.5,3.5
247,Emmanuel Mudiay\mudiaem01,UTA,9,1,14.6,2.2,5.8,.385,0.6,1.6,.357,1.3,1.8,.750,0.2,1.7,1.9,1.2,0.6,0.1,1.3,0.9,6.3,3.5
248,Abdel Nader\naderab01,OKC,10,1,13.6,2.4,5.0,.480,1.0,2.8,.357,0.4,0.6,.667,0.1,1.2,1.3,0.3,0.4,0.2,0.7,1.4,6.2,3.5
249,Kendrick Nunn\nunnke01,MIA,20,5,17.8,2.8,7.8,.359,0.9,3.6,.250,0.8,0.8,1.000,0.3,2.0,2.2,1.5,0.4,0.4,1.3,1.6,7.3,3.5
250,Carsen Edwards\edwarca01,BOS,3,0,12.7,1.7,5.0,.333,1.0,2.7,.375,0.7,2.0,.333,0.0,1.7,1.7,0.7,0.7,0.3,0.0,0.3,5.0,3.4
251,Vic Law\lawvi01,ORL,4,0,14.0,1.8,4.0,.438,0.5,1.8,.286,0.5,1.0,.500,0.5,2.5,3.0,1.0,0.5,0.0,0.5,1.5,4.5,3.4
252,Tacko Fall\fallta01,BOS,3,0,3.7,1.0,1.0,1.000,0.0,0.0,,0.3,0.7,.500,0.3,1.3,1.7,0.3,0.3,0.7,0.0,0.7,2.3,3.3
253,Jaylen Hoard\hoardja01,POR,3,0,13.8,2.3,4.0,.583,0.0,0.0,,0.0,0.0,,1.7,1.3,3.0,0.3,0.0,0.0,0.7,1.7,4.7,3.3
254,Ersan İlyasova\ilyaser01,MIL,10,0,11.4,1.2,3.2,.375,0.5,1.8,.278,1.2,1.4,.857,0.2,2.8,3.0,0.2,0.3,0.3,0.2,1.1,4.1,3.3
255,De'Anthony Melton\meltode01,MEM,8,0,19.5,1.6,6.0,.271,0.4,2.9,.130,0.8,1.9,.400,0.8,2.6,3.4,2.3,1.5,0.3,0.8,2.1,4.4,3.3
256,Johnathan Williams\willijo04,WAS,4,1,11.3,0.8,2.3,.333,0.0,0.0,,1.0,2.0,.500,2.3,3.0,5.3,0.5,0.0,0.5,0.3,1.3,2.5,3.3
257,Goga Bitadze\bitadgo01,IND,5,0,12.3,1.8,4.2,.429,0.4,1.2,.333,0.0,0.0,,0.6,1.4,2.0,0.4,0.8,1.0,0.6,1.6,4.0,3.2
258,Wenyen Gabriel\gabriwe01,POR,6,2,12.9,1.7,2.8,.588,0.3,0.8,.400,0.3,0.7,.500,1.7,1.0,2.7,0.7,0.5,0.5,0.8,3.3,4.0,3.2
259,Meyers Leonard\leoname01,MIA,5,2,15.5,1.6,3.8,.421,0.8,2.6,.308,0.6,0.8,.750,0.6,2.0,2.6,1.0,0.4,0.0,0.8,1.6,4.6,3.2
260,Nicolò Melli\mellini01,NOP,8,2,19.1,1.6,5.6,.289,0.5,3.3,.154,1.3,1.6,.769,0.1,2.8,2.9,1.9,0.5,0.5,0.5,2.4,5.0,3.2
261,Nerlens Noel\noelne01,OKC,13,1,16.2,1.4,2.5,.563,0.0,0.1,.000,0.8,1.4,.556,1.1,3.4,4.5,0.5,0.4,1.1,1.1,2.9,3.5,3.2
262,Nigel Williams-Goss\willini01,UTA,2,0,12.3,2.0,4.5,.444,1.0,2.5,.400,0.0,0.0,,0.0,0.5,0.5,1.0,1.0,0.0,0.5,2.0,5.0,3.2
263,D.J. Wilson\wilsodj01,MIL,6,1,13.8,2.0,5.2,.387,0.7,3.0,.222,0.8,1.5,.556,0.3,3.7,4.0,0.5,0.2,0.0,0.7,1.2,5.5,3.1
264,Kostas Antetokounmpo\antetko01,LAL,2,0,7.5,1.5,1.5,1.000,0.0,0.0,,0.5,1.0,.500,1.0,0.0,1.0,0.5,0.0,0.0,0.5,1.0,3.5,3.0
265,Solomon Hill\hillso01,MIA,12,0,11.5,1.3,3.3,.385,0.5,1.8,.286,0.8,1.0,.833,0.3,1.3,1.5,0.8,0.7,0.0,0.3,1.0,3.8,3.0
266,Derrick Jones\jonesde02,MIA,23,1,9.7,1.1,1.9,.605,0.3,0.7,.467,0.4,0.7,.600,0.7,0.7,1.4,0.5,0.4,0.3,0.2,1.2,3.0,3.0
267,Vincent Poirier\poirivi01,BOS,2,0,9.1,0.5,1.5,.333,0.0,0.0,,0.0,0.0,,1.5,3.0,4.5,1.0,0.5,1.5,1.0,1.0,1.0,3.0
268,Landry Shamet\shamela01,LAC,19,7,21.1,1.9,5.2,.364,1.1,3.7,.300,0.7,1.1,.650,0.0,1.7,1.7,1.5,0.4,0.2,1.0,1.6,5.6,3.0
269,Edmond Sumner\sumneed01,IND,9,1,15.8,1.8,4.2,.421,0.4,2.0,.222,0.9,1.8,.500,0.2,1.4,1.7,1.8,0.0,0.1,0.6,1.6,4.9,3.0
270,Jarrell Brantley\brantja01,UTA,6,0,15.9,1.7,5.5,.303,0.5,2.7,.188,0.3,0.7,.500,0.8,2.3,3.2,2.0,0.5,0.7,1.0,1.5,4.2,2.9
271,Rodney McGruder\mcgruro01,LAC,11,1,12.5,1.3,2.7,.467,0.4,1.2,.308,0.4,0.5,.667,0.4,2.1,2.5,0.7,0.3,0.0,0.3,0.6,3.3,2.9
272,Moritz Wagner\wagnemo01,WAS,8,0,16.0,1.8,4.8,.368,0.3,1.6,.154,1.4,1.6,.846,0.6,2.8,3.4,0.9,0.8,0.3,1.4,2.3,5.1,2.9
273,Yuta Watanabe\watanyu01,MEM,2,0,3.1,1.5,2.5,.600,0.0,0.0,,0.0,0.0,,0.5,1.0,1.5,0.5,0.0,0.0,0.0,0.0,3.0,2.9
274,Justin Anderson\anderju01,BRK,10,1,11.9,1.4,4.4,.318,1.1,3.7,.297,0.5,0.6,.833,0.1,2.6,2.7,1.1,0.0,0.6,0.6,1.3,4.4,2.8
275,Bruno Caboclo\cabocbr01,HOU,5,0,6.2,1.4,2.8,.500,0.4,1.2,.333,0.8,0.8,1.000,0.2,1.8,2.0,0.0,0.8,0.2,0.8,1.6,4.0,2.8
276,Amir Coffey\coffeam01,LAC,8,1,8.5,1.3,3.0,.417,0.6,1.6,.385,0.9,1.3,.700,0.0,0.3,0.3,1.1,0.6,0.1,0.6,1.0,4.0,2.8
277,Malcolm Miller\millema01,TOR,4,0,10.6,1.3,2.0,.625,0.8,1.0,.750,0.5,0.5,1.000,0.3,0.3,0.5,0.8,0.3,0.0,0.3,2.0,3.8,2.8
278,Quinn Cook\cookqu01,LAL,12,1,10.3,1.7,4.3,.392,0.7,1.9,.348,0.5,0.5,1.000,0.3,0.7,1.0,1.2,0.1,0.1,0.8,0.4,4.5,2.7
279,Anfernee Simons\simonan01,POR,9,0,14.6,1.2,4.1,.297,0.8,2.3,.333,0.6,0.7,.833,0.1,1.7,1.8,1.3,0.7,0.0,0.4,1.2,3.8,2.6
280,Josh Jackson\jacksjo02,MEM,4,0,6.1,0.5,1.0,.500,0.0,0.0,,1.5,1.5,1.000,0.0,2.0,2.0,1.0,0.0,0.0,0.8,0.3,2.5,2.5
281,Keita Bates-Diop\bateske01,DEN,10,0,10.3,1.2,3.1,.387,0.3,0.9,.333,0.6,0.8,.750,0.7,1.4,2.1,0.1,0.2,0.3,0.3,0.5,3.3,2.4
282,Jerian Grant\grantje02,WAS,6,0,13.4,1.7,4.5,.370,0.3,1.3,.250,0.8,1.2,.714,0.3,0.7,1.0,1.5,0.2,0.2,0.5,1.8,4.5,2.4
283,Terance Mann\mannte01,LAC,19,0,6.2,0.9,1.6,.567,0.2,0.5,.400,0.5,0.8,.600,0.3,1.2,1.5,0.8,0.2,0.0,0.3,0.7,2.5,2.4
284,Troy Daniels\danietr01,DEN,11,0,9.6,1.5,3.5,.410,0.8,2.3,.360,0.1,0.2,.500,0.1,0.7,0.8,0.5,0.3,0.0,0.3,0.8,3.8,2.2
285,Frank Kaminsky\kaminfr01,PHO,7,0,8.5,1.6,4.0,.393,0.3,1.7,.167,0.3,0.3,1.000,0.7,1.9,2.6,0.6,0.1,0.0,0.6,0.9,3.7,2.2
286,Cheick Diallo\diallch01,PHO,3,0,3.8,1.0,1.7,.600,0.0,0.3,.000,0.7,0.7,1.000,0.7,0.7,1.3,0.0,0.3,0.0,0.7,0.3,2.7,2.1
287,Norvel Pelle\pelleno01,PHI,5,0,12.0,1.4,2.6,.538,0.0,0.2,.000,0.2,0.4,.500,0.8,1.6,2.4,0.2,0.6,1.4,1.0,3.2,3.0,2.1
288,T.J. Leaf\leaftj01,IND,3,0,9.6,2.0,5.7,.353,0.0,1.3,.000,0.0,1.3,.000,0.7,1.7,2.3,1.0,0.7,0.3,0.3,1.3,4.0,2.0
289,Juwan Morgan\morgaju01,UTA,12,2,12.3,0.8,1.8,.429,0.3,1.1,.308,0.4,0.8,.500,0.9,1.7,2.6,0.8,0.3,0.1,0.3,1.9,2.3,2.0
290,Josh Reaves\reavejo02,DAL,4,0,9.0,1.0,2.8,.364,0.0,0.8,.000,1.0,1.0,1.000,0.3,1.0,1.3,1.0,0.0,0.3,0.3,1.5,3.0,2.0
291,Grant Williams\willigr01,BOS,24,0,10.1,0.9,1.9,.489,0.5,1.2,.464,0.4,0.5,.692,0.3,1.3,1.6,0.5,0.2,0.3,0.3,2.0,2.8,2.0
292,Joakim Noah\noahjo01,LAC,7,0,7.4,0.6,1.1,.500,0.0,0.0,,0.9,1.1,.750,0.7,1.6,2.3,1.0,0.1,0.1,0.9,1.3,2.0,1.9
293,Anžejs Pasečņiks\pasecan01,WAS,3,0,10.7,1.7,3.3,.500,0.0,0.3,.000,0.7,1.3,.500,1.0,1.7,2.7,0.3,0.3,0.0,0.7,3.3,4.0,1.8
294,Tyler Cook\cookty01,DEN,3,0,7.8,0.3,0.7,.500,0.0,0.0,,0.7,0.7,1.000,0.7,1.3,2.0,0.0,0.7,0.0,0.7,0.3,1.3,1.7
295,Justin Jackson\jacksju01,DAL,10,1,13.1,1.2,3.6,.333,0.3,1.5,.200,0.8,1.0,.800,0.0,1.5,1.5,0.3,0.3,0.0,0.2,1.2,3.5,1.7
296,Semi Ojeleye\ojelese01,BOS,21,1,11.5,1.0,3.1,.338,0.8,2.5,.327,0.2,0.3,.833,0.2,1.4,1.6,0.3,0.3,0.0,0.4,1.2,3.1,1.6
297,Jaylen Adams\adamsja01,POR,3,0,6.9,1.0,3.0,.333,0.0,1.3,.000,0.0,0.0,,0.3,0.7,1.0,0.7,0.3,0.0,0.0,0.3,2.0,1.4
298,Andre Roberson\roberan03,OKC,8,0,11.3,1.0,3.8,.267,0.4,1.9,.200,0.1,0.3,.500,0.9,2.5,3.4,0.5,0.1,0.4,0.3,1.8,2.5,1.4
299,Kenrich Williams\willike04,NOP,4,0,13.2,0.5,1.0,.500,0.0,0.3,.000,0.0,0.5,.000,0.5,1.5,2.0,1.0,0.5,0.0,0.3,1.8,1.0,1.4
300,Brian Bowen\bowenbr02,IND,1,0,2.3,1.0,1.0,1.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.3
301,Michael Kidd-Gilchrist\kiddgmi01,DAL,10,0,10.5,0.7,2.0,.350,0.2,0.9,.222,0.6,0.9,.667,0.4,1.4,1.8,0.4,0.1,0.2,0.4,1.3,2.2,1.3
302,Robin Lopez\lopezro01,MIL,9,1,13.0,1.4,3.3,.433,0.2,1.0,.222,0.6,1.1,.500,0.4,1.7,2.1,0.4,0.0,0.4,1.0,2.0,3.7,1.3
303,Luc Mbah a Moute\mbahalu01,HOU,3,0,8.2,0.7,1.7,.400,0.0,0.7,.000,0.3,0.7,.500,0.3,0.3,0.7,0.0,0.7,0.0,0.3,0.0,1.7,1.3
304,Admiral Schofield\schofad01,WAS,6,0,12.6,0.8,2.8,.294,0.8,2.3,.357,0.2,0.3,.500,0.2,2.0,2.2,0.2,0.0,0.2,0.0,1.5,2.7,1.3
305,Corey Brewer\breweco01,SAC,5,0,6.5,0.4,0.8,.500,0.0,0.2,.000,0.2,0.6,.333,0.4,1.2,1.6,0.4,0.8,0.0,0.4,1.4,1.0,1.2
306,Devon Hall\hallde01,OKC,6,0,10.2,0.8,4.2,.200,0.7,2.5,.267,0.2,0.7,.250,0.3,0.7,1.0,1.7,0.7,0.2,0.7,0.8,2.5,1.1
307,Justin James\jamesju01,SAC,2,0,7.1,1.0,3.0,.333,0.0,1.5,.000,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,2.0,1.1
308,Marial Shayok\shayoma01,PHI,2,0,8.8,1.0,3.5,.286,0.5,1.5,.333,1.5,2.0,.750,0.5,1.5,2.0,0.0,0.0,0.5,1.0,2.0,4.0,1.1
309,Lance Thomas\thomala01,BRK,10,4,11.5,0.9,2.8,.321,0.4,1.5,.267,0.6,0.8,.750,0.3,1.3,1.6,0.6,0.0,0.1,0.6,1.3,2.8,1.1
310,Quinndary Weatherspoon\weathqu01,SAS,8,0,7.8,0.6,1.8,.357,0.1,0.5,.250,0.1,0.3,.500,0.1,0.6,0.8,1.3,0.4,0.1,0.6,1.0,1.5,1.1
311,Marko Guduric\gudurma01,MEM,2,0,3.8,0.5,1.5,.333,0.0,1.0,.000,0.5,0.5,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0
312,Tyler Zeller\zellety01,SAS,2,0,1.9,0.5,2.0,.250,0.0,0.0,,0.0,0.0,,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
313,Jared Dudley\dudleja01,LAL,14,0,6.0,0.3,1.0,.286,0.1,0.8,.182,0.0,0.0,,0.1,0.7,0.8,0.6,0.5,0.1,0.3,0.5,0.7,0.9
314,Kyle Guy\guyky01,SAC,1,0,5.6,1.0,3.0,.333,0.0,2.0,.000,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.9
315,Ty Jerome\jeromty01,PHO,3,0,4.2,0.3,2.3,.143,0.3,1.0,.333,0.3,0.7,.500,0.3,1.3,1.7,0.3,0.3,0.0,0.0,0.3,1.3,0.8
316,Romeo Langford\langfro01,BOS,12,1,9.8,0.7,2.2,.308,0.1,0.5,.167,0.3,0.3,.750,0.1,0.9,1.0,0.8,0.1,0.2,0.3,0.7,1.7,0.8
317,Gabe Vincent\vincega01,MIA,4,0,10.4,1.0,4.5,.222,0.5,2.8,.182,0.0,0.0,,0.0,0.5,0.5,0.8,1.0,0.0,0.3,1.0,2.5,0.8
318,Kyle Alexander\alexaky01,MIA,2,0,6.7,0.5,1.0,.500,0.0,0.0,,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0,0.7
319,Noah Vonleh\vonleno01,DEN,4,0,4.2,0.5,1.0,.500,0.0,0.0,,0.3,0.5,.500,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.5,1.3,0.7
320,Antonius Cleveland\clevean01,DAL,7,0,4.6,0.6,1.9,.308,0.0,0.3,.000,0.3,0.4,.667,0.4,0.3,0.7,0.1,0.1,0.3,0.1,1.0,1.4,0.6
321,Tremont Waters\watertr01,BOS,2,1,16.0,1.0,7.5,.133,0.5,4.0,.125,1.0,1.0,1.000,0.0,2.0,2.0,2.5,2.5,0.0,2.5,1.0,3.5,0.6
322,John Konchar\konchjo01,MEM,4,0,3.5,0.3,0.5,.500,0.3,0.3,1.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.0,0.8,0.5
323,Mohamed Bamba\bambamo01,ORL,2,0,5.4,0.0,2.0,.000,0.0,1.5,.000,0.0,0.0,,1.0,0.5,1.5,0.0,0.5,0.5,0.0,0.5,0.0,0.1
324,J.R. Smith\smithjr01,LAL,16,0,9.6,0.9,3.0,.292,0.4,2.1,.212,0.1,0.1,1.000,0.0,0.5,0.5,0.4,0.2,0.0,0.7,1.0,2.3,0.1
325,Deonte Burton\burtode02,OKC,6,0,12.4,0.7,3.3,.200,0.0,1.2,.000,0.3,0.3,1.000,0.2,1.3,1.5,1.0,0.3,0.0,0.8,1.0,1.7,-0.1
326,Michael Frazier\frazimi01,HOU,9,0,10.0,0.4,2.4,.182,0.3,1.9,.176,0.6,0.9,.625,0.1,1.1,1.2,0.3,0.0,0.0,0.4,1.0,1.8,-0.1
327,Terrance Ferguson\fergute01,OKC,10,2,12.9,0.6,3.2,.188,0.5,2.3,.217,0.0,0.1,.000,0.1,0.4,0.5,0.7,0.2,0.1,0.2,1.4,1.7,-0.2
328,Naz Mitrou-Long\mitrona01,IND,2,0,2.2,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,-0.6
329,Tyson Chandler\chandty01,HOU,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,2.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8
330,Jalen Lecque\lecquja01,PHO,1,0,5.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.8