,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Player_Name,Twitter_handle
162,163,Justin Holiday_holidju01,IND,12,6,28.3,2.3,6.3,0.373,1.7,4.9,0.33899999999999997,0.7,0.9,0.727,0.5,3.4,3.9,0.8,1.5,0.8,0.6,2.2,7.0,5.9,Justin Holiday,holidju01
163,164,Kent Bazemore_bazemke01,SAC,4,0,20.9,3.8,9.8,0.385,1.5,4.0,0.375,1.0,1.3,0.8,0.8,3.5,4.3,2.0,1.0,0.3,1.5,3.5,10.0,5.8,Kent Bazemore,bazemke01
164,165,Isaac Bonga_bongais01,WAS,8,8,28.0,2.8,6.3,0.44,0.4,2.0,0.188,2.1,2.6,0.81,1.3,3.6,4.9,1.9,1.0,0.1,2.1,2.5,8.0,5.8,Isaac Bonga,bongais01
165,166,Chris Chiozza_chiozch01,BRK,11,2,19.7,2.8,7.7,0.365,1.3,4.3,0.298,0.5,0.6,0.7140000000000001,0.4,1.8,2.2,4.7,1.0,0.2,1.6,1.9,7.4,5.8,Chris Chiozza,chiozch01
166,167,Jaxson Hayes_hayesja02,NOP,8,2,16.1,2.4,3.0,0.792,0.0,0.0,,1.8,2.1,0.8240000000000001,1.9,2.6,4.5,0.6,0.4,0.3,1.5,2.4,6.5,5.8,Jaxson Hayes,hayesja02
167,168,Mike Scott_scottmi01,PHI,9,1,12.0,2.2,4.0,0.556,0.8,1.7,0.467,1.0,1.2,0.818,1.0,2.4,3.4,1.0,0.2,0.0,0.2,1.4,6.2,5.8,Mike Scott,scottmi01
168,169,Zach Collins_colliza01,POR,8,8,25.4,2.9,6.1,0.469,0.5,1.5,0.33299999999999996,0.0,0.3,0.0,2.6,4.5,7.1,1.3,0.6,0.4,1.0,3.1,6.3,5.7,Zach Collins,colliza01
169,170,P.J. Tucker_tuckepj01,HOU,20,20,33.9,2.5,7.0,0.35700000000000004,1.9,5.5,0.33899999999999997,0.1,0.2,0.5,1.7,4.4,6.1,1.6,1.0,0.4,0.9,3.4,7.0,5.7,P.J. Tucker,tuckepj01
170,171,Brad Wanamaker_wanambr01,BOS,25,0,17.1,2.2,4.2,0.529,0.6,1.6,0.41,1.3,1.4,0.889,0.2,2.0,2.2,2.0,0.8,0.2,1.0,1.8,6.3,5.7,Brad Wanamaker,wanambr01
171,172,Gorgui Dieng_dienggo01,MEM,5,0,16.9,1.6,4.2,0.381,0.6,2.0,0.3,3.4,3.6,0.9440000000000001,0.8,2.8,3.6,0.4,0.6,0.6,1.0,2.4,7.2,5.6,Gorgui Dieng,dienggo01
172,173,JaMychal Green_greenja01,LAC,21,1,19.0,2.7,5.0,0.5429999999999999,1.3,2.7,0.491,0.5,0.6,0.846,0.7,3.5,4.2,0.6,0.3,0.3,0.7,2.7,7.3,5.6,JaMychal Green,greenja01
173,174,Chimezie Metu_metuch01,SAS,2,0,16.4,2.0,3.5,0.5710000000000001,0.0,0.5,0.0,2.0,2.5,0.8,1.0,2.5,3.5,2.0,1.0,1.0,2.5,1.5,6.0,5.6,Chimezie Metu,metuch01
174,175,Elie Okobo_okoboel01,PHO,1,0,12.0,0.0,0.0,,0.0,0.0,,4.0,4.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,5.6,Elie Okobo,okoboel01
175,176,Luka Šamanić_samanlu01,SAS,2,1,18.2,2.5,6.0,0.41700000000000004,1.5,3.0,0.5,1.5,2.0,0.75,0.5,3.5,4.0,1.5,0.0,1.0,1.0,3.0,8.0,5.6,Luka Šamanić,samanlu01
176,177,Dwight Howard_howardw01,LAL,25,7,15.8,2.1,3.1,0.688,0.0,0.1,0.5,1.8,3.2,0.5820000000000001,1.9,3.4,5.3,0.5,0.5,0.4,1.1,3.1,6.1,5.5,Dwight Howard,howardw01
177,178,Patrick Patterson_pattepa01,LAC,10,0,17.9,2.2,4.8,0.45799999999999996,1.5,3.3,0.455,0.8,0.9,0.889,0.5,2.6,3.1,1.4,0.1,0.0,0.3,1.4,6.7,5.5,Patrick Patterson,pattepa01
178,179,Alex Caruso_carusal01,LAL,27,2,24.2,2.1,5.3,0.40299999999999997,0.7,2.7,0.257,1.3,1.8,0.7290000000000001,0.7,1.5,2.2,3.0,1.2,0.5,1.4,2.5,6.3,5.4,Alex Caruso,carusal01
179,180,J.J. Barea_bareajo01,DAL,4,2,16.1,2.8,7.3,0.379,0.8,2.3,0.33299999999999996,1.5,1.8,0.857,0.0,1.3,1.3,3.3,0.3,0.0,1.0,0.8,7.8,5.3,J.J. Barea,bareajo01
180,181,Michael Carter-Williams_cartemi01,ORL,3,0,20.0,2.0,6.0,0.33299999999999996,0.7,2.3,0.28600000000000003,2.3,2.7,0.875,0.7,1.7,2.3,2.3,1.3,0.7,1.3,3.0,7.0,5.3,Michael Carter-Williams,cartemi01
181,182,Danny Green_greenda02,LAL,28,28,24.4,2.8,7.8,0.35600000000000004,1.6,5.1,0.322,0.4,0.7,0.579,1.1,1.9,3.0,1.1,1.0,0.7,0.8,2.0,7.6,5.3,Danny Green,greenda02
182,183,Udonis Haslem_hasleud01,MIA,1,1,23.5,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,,1.0,7.0,8.0,0.0,0.0,0.0,1.0,3.0,7.0,5.3,Udonis Haslem,hasleud01
183,184,Talen Horton-Tucker_hortota01,LAL,6,1,15.5,3.3,6.8,0.488,1.0,2.8,0.353,0.3,0.7,0.5,0.3,1.7,2.0,0.7,1.5,0.2,1.0,2.3,8.0,5.3,Talen Horton-Tucker,hortota01
184,185,Javonte Green_greenja02,BOS,5,1,11.8,3.0,6.0,0.5,0.8,2.4,0.33299999999999996,1.0,1.2,0.833,1.2,1.6,2.8,0.6,0.2,0.2,1.0,1.4,7.8,5.2,Javonte Green,greenja02
185,186,Enes Kanter_kanteen01,BOS,18,1,10.8,2.5,4.4,0.57,0.1,0.1,1.0,0.7,1.1,0.6,2.3,2.2,4.4,0.8,0.1,0.2,0.4,1.9,5.7,5.2,Enes Kanter,kanteen01
186,187,Chris Silva_silvach01,MIA,3,0,13.2,1.7,3.0,0.556,0.0,0.3,0.0,1.0,2.0,0.5,2.0,3.7,5.7,0.7,0.0,1.0,0.3,1.7,4.3,5.2,Chris Silva,silvach01
187,188,Pat Connaughton_connapa01,MIL,16,3,18.4,2.1,4.7,0.44,1.2,3.3,0.365,0.4,0.4,1.0,0.6,3.4,4.0,1.4,0.4,0.2,0.6,1.4,5.7,5.1,Pat Connaughton,connapa01
188,189,Marvin Williams_willima02,MIL,16,0,18.6,1.9,4.1,0.462,0.9,2.2,0.4,0.3,0.4,0.833,1.4,3.8,5.2,0.8,0.4,0.4,0.5,1.4,4.9,5.1,Marvin Williams,willima02
189,190,Tony Bradley_bradlto01,UTA,14,1,12.6,1.8,3.1,0.581,0.1,0.1,1.0,0.6,0.9,0.6920000000000001,2.2,3.1,5.3,0.5,0.3,0.7,0.8,1.5,4.4,5.0,Tony Bradley,bradlto01
190,191,Marc Gasol_gasolma01,TOR,19,19,21.0,2.4,5.6,0.42100000000000004,0.6,2.5,0.22899999999999998,1.1,1.5,0.75,0.3,4.7,5.0,2.7,0.6,0.6,1.7,2.9,6.4,5.0,Marc Gasol,gasolma01
191,192,Stanley Johnson_johnsst04,TOR,8,0,9.2,2.4,4.9,0.48700000000000004,0.9,2.0,0.43799999999999994,0.6,1.4,0.455,0.6,1.8,2.4,2.3,0.3,0.3,1.0,1.1,6.3,5.0,Stanley Johnson,johnsst04
192,193,Rodions Kurucs_kurucro01,BRK,12,6,20.1,2.5,5.3,0.47600000000000003,0.7,2.8,0.242,0.6,1.0,0.583,0.8,3.6,4.4,1.8,0.8,0.3,1.2,2.8,6.3,5.0,Rodions Kurucs,kurucro01
193,194,Yogi Ferrell_ferreyo01,SAC,6,0,7.6,2.0,3.2,0.632,0.8,1.7,0.5,0.7,0.8,0.8,0.0,0.2,0.2,1.7,0.7,0.0,0.5,1.2,5.5,4.9,Yogi Ferrell,ferreyo01
194,195,Furkan Korkmaz_korkmfu01,PHI,12,0,16.8,1.7,4.7,0.35700000000000004,1.4,3.8,0.37799999999999995,2.3,2.9,0.7709999999999999,0.2,2.0,2.2,0.9,0.5,0.1,0.8,1.0,7.0,4.9,Furkan Korkmaz,korkmfu01
195,196,Georges Niang_niangge01,UTA,15,1,17.7,2.9,6.7,0.426,1.7,4.6,0.36200000000000004,0.2,0.3,0.75,0.5,1.7,2.2,0.9,0.3,0.1,0.4,1.4,7.6,4.9,Georges Niang,niangge01
196,197,JaKarr Sampson_sampsja02,IND,12,2,15.0,2.5,4.2,0.6,0.0,0.0,,0.6,0.6,1.0,0.5,3.0,3.5,1.3,0.8,0.3,0.8,2.6,5.6,4.9,JaKarr Sampson,sampsja02
197,198,Luguentz Dort_dortlu01,OKC,13,13,27.5,3.7,10.5,0.35,1.6,6.0,0.26899999999999996,1.7,2.5,0.688,1.1,2.7,3.8,0.9,0.8,0.6,1.7,3.4,10.7,4.8,Luguentz Dort,dortlu01
198,199,Melvin Frazier_frazime01,ORL,4,0,18.7,2.3,4.3,0.529,1.0,2.3,0.444,0.0,0.0,,0.3,1.3,1.5,0.5,1.3,0.0,0.5,0.8,5.5,4.8,Melvin Frazier,frazime01
199,200,Wesley Iwundu_iwundwe01,ORL,12,3,18.3,2.2,4.9,0.441,0.9,1.8,0.5,1.8,2.4,0.7240000000000001,0.2,2.3,2.4,1.5,0.3,0.3,0.9,1.9,7.0,4.8,Wesley Iwundu,iwundwe01
200,201,Džanan Musa_musadz01,BRK,8,0,15.3,2.0,5.5,0.364,0.5,2.4,0.21100000000000002,2.8,3.8,0.733,0.4,1.9,2.3,2.0,0.3,0.1,1.3,0.9,7.3,4.8,Džanan Musa,musadz01
201,202,Jamal Crawford_crawfja01,BRK,1,0,6.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,4.7,Jamal Crawford,crawfja01
202,203,Donta Hall_halldo01,BRK,8,0,13.1,2.1,2.9,0.7390000000000001,0.0,0.0,,0.8,2.0,0.375,1.4,2.1,3.5,0.3,0.3,0.9,0.5,1.9,5.0,4.7,Donta Hall,halldo01
203,204,Ben McLemore_mclembe01,HOU,19,4,16.4,2.5,6.1,0.41700000000000004,2.2,5.2,0.418,0.2,0.3,0.6,0.2,1.4,1.5,0.5,0.6,0.2,0.4,1.7,7.4,4.7,Ben McLemore,mclembe01
204,205,Chris Boucher_bouchch01,TOR,14,0,9.8,1.8,3.6,0.5,0.9,1.7,0.5,0.6,1.0,0.643,1.1,2.2,3.4,0.3,0.1,0.7,0.4,1.1,5.1,4.6,Chris Boucher,bouchch01
205,206,Harry Giles_gilesha01,SAC,8,0,11.0,2.9,5.5,0.523,0.0,0.3,0.0,0.6,0.8,0.833,1.3,2.4,3.6,1.4,0.1,0.5,1.1,2.4,6.4,4.6,Harry Giles,gilesha01
206,207,E'Twaun Moore_mooreet01,NOP,5,1,12.4,2.4,5.4,0.444,0.6,1.4,0.429,0.4,0.4,1.0,0.4,1.2,1.6,1.0,0.8,0.2,0.4,0.6,5.8,4.6,E'Twaun Moore,mooreet01
207,208,Miye Oni_onimi01,UTA,7,1,16.1,2.1,5.1,0.41700000000000004,1.1,3.1,0.364,0.6,0.7,0.8,1.0,1.7,2.7,0.6,0.7,0.4,0.6,1.6,6.0,4.6,Miye Oni,onimi01
208,209,Austin Rivers_riverau01,HOU,20,0,20.1,2.4,6.5,0.369,1.1,3.7,0.301,1.4,1.7,0.8240000000000001,0.2,3.0,3.2,1.7,0.7,0.1,1.2,2.0,7.3,4.6,Austin Rivers,riverau01
209,210,Donte DiVincenzo_divindo01,MIL,17,3,19.0,2.7,6.4,0.42200000000000004,0.8,2.8,0.298,0.9,1.6,0.5710000000000001,0.9,2.7,3.6,1.8,0.7,0.3,1.6,2.2,7.2,4.5,Donte DiVincenzo,divindo01
210,211,DaQuan Jeffries_jeffrda01,SAC,7,0,17.4,2.4,4.7,0.515,0.6,2.0,0.28600000000000003,0.7,0.9,0.833,0.3,2.1,2.4,0.9,0.4,0.1,0.3,2.3,6.1,4.5,DaQuan Jeffries,jeffrda01
211,212,Reggie Jackson_jacksre01,LAC,20,6,17.8,2.4,5.9,0.41,1.5,3.2,0.45299999999999996,0.5,0.6,0.909,0.2,2.1,2.3,1.8,0.3,0.1,0.8,1.9,6.8,4.4,Reggie Jackson,jacksre01
212,213,Alize Johnson_johnsal02,IND,5,1,12.8,1.0,2.8,0.35700000000000004,0.6,1.6,0.375,0.6,0.8,0.75,1.8,4.2,6.0,1.0,0.6,0.4,0.8,1.2,3.2,4.4,Alize Johnson,johnsal02
213,214,Doug McDermott_mcderdo01,IND,11,0,16.8,2.7,6.5,0.423,1.1,3.5,0.308,0.5,0.5,0.833,0.3,1.6,1.9,0.8,0.4,0.1,0.3,1.3,7.0,4.4,Doug McDermott,mcderdo01
214,215,Shabazz Napier_napiesh01,WAS,5,2,22.1,3.6,8.6,0.419,1.0,3.6,0.278,2.0,2.4,0.833,0.2,2.2,2.4,1.8,0.6,0.4,3.4,1.6,10.2,4.4,Shabazz Napier,napiesh01
215,216,Dion Waiters_waitedi01,LAL,12,0,16.9,2.9,7.1,0.41200000000000003,0.6,2.8,0.20600000000000002,1.3,1.5,0.889,0.2,1.1,1.3,1.6,0.4,0.4,1.2,1.5,7.8,4.4,Dion Waiters,waitedi01
216,217,Delon Wright_wrighde01,DAL,12,0,17.6,1.4,3.3,0.425,0.3,1.0,0.25,0.8,1.3,0.6,0.4,1.6,2.0,2.6,1.2,0.1,0.8,1.0,3.8,4.4,Delon Wright,wrighde01
217,218,Bol Bol_bolbo01,DEN,11,0,9.9,1.7,3.4,0.514,0.5,1.1,0.5,1.4,1.6,0.833,0.7,1.5,2.2,0.5,0.4,0.7,1.1,1.1,5.4,4.3,Bol Bol,bolbo01
218,219,Torrey Craig_craigto01,DEN,27,11,21.4,2.3,5.1,0.439,0.7,2.6,0.282,0.4,0.7,0.611,1.0,2.5,3.5,1.0,0.4,0.4,0.4,2.5,5.7,4.3,Torrey Craig,craigto01
219,220,PJ Dozier_doziepj01,DEN,20,0,15.1,2.2,5.0,0.434,0.6,1.5,0.414,1.1,1.6,0.688,0.4,1.8,2.2,2.3,0.5,0.2,1.2,1.6,6.0,4.3,PJ Dozier,doziepj01
220,221,Gary Harris_harriga01,DEN,14,12,27.1,2.4,6.4,0.37799999999999995,1.4,3.7,0.365,1.2,1.6,0.773,0.5,1.5,2.0,1.7,1.1,0.3,1.5,3.2,7.4,4.3,Gary Harris,harriga01
221,222,Kevin Hervey_herveke01,OKC,3,0,10.9,2.0,5.3,0.375,1.0,4.0,0.25,0.0,0.0,,0.3,3.0,3.3,1.3,0.3,0.3,0.0,1.0,5.0,4.3,Kevin Hervey,herveke01
222,223,Mason Plumlee_plumlma01,DEN,27,0,13.5,1.6,2.9,0.544,0.0,0.1,0.0,0.6,1.1,0.586,1.5,2.1,3.6,2.0,0.3,0.5,0.8,2.1,3.8,4.3,Mason Plumlee,plumlma01
223,224,Andre Iguodala_iguodan01,MIA,28,0,20.3,1.5,3.6,0.42200000000000004,0.7,2.2,0.306,0.3,0.5,0.643,0.6,2.2,2.8,1.9,0.8,0.6,0.8,1.8,4.1,4.2,Andre Iguodala,iguodan01
224,225,Wesley Matthews_matthwe02,MIL,15,15,23.5,2.1,5.2,0.41,1.6,4.2,0.381,0.7,1.0,0.733,0.5,1.1,1.6,0.7,0.7,0.3,0.6,2.1,6.6,4.2,Wesley Matthews,matthwe02
225,226,Matisse Thybulle_thybuma01,PHI,12,2,21.1,1.6,3.2,0.5,0.6,1.6,0.368,0.0,0.0,,0.8,1.5,2.3,0.9,1.4,0.7,0.7,2.3,3.8,4.2,Matisse Thybulle,thybuma01
226,227,Kyle Korver_korveky01,MIL,18,1,13.7,1.9,4.5,0.43200000000000005,1.6,3.7,0.418,0.8,0.8,1.0,0.1,1.3,1.4,0.4,0.4,0.1,0.6,1.1,6.2,4.1,Kyle Korver,korveky01
227,228,Alex Len_lenal01,SAC,6,3,12.6,1.5,2.8,0.529,0.3,0.5,0.667,1.7,2.3,0.7140000000000001,0.8,3.7,4.5,0.5,0.2,0.3,0.8,2.2,5.0,4.1,Alex Len,lenal01
228,229,Paul Watson_watsopa01,TOR,7,0,10.0,1.6,2.9,0.55,0.6,1.1,0.5,0.9,1.0,0.857,0.3,1.6,1.9,0.6,0.6,0.0,0.4,0.6,4.6,4.1,Paul Watson,watsopa01
229,230,Dewan Hernandez_hernade01,TOR,2,0,8.5,2.0,4.5,0.444,0.5,0.5,1.0,0.5,1.5,0.33299999999999996,1.5,2.0,3.5,1.5,0.0,0.0,1.0,0.0,5.0,4.0,Dewan Hernandez,hernade01
230,231,B.J. Johnson_johnsbj01,ORL,3,0,13.3,1.7,5.3,0.313,1.0,1.3,0.75,2.3,2.7,0.875,0.7,3.0,3.7,0.3,0.3,0.0,1.0,1.0,6.7,4.0,B.J. Johnson,johnsbj01
231,232,Terence Davis_daviste02,TOR,14,2,14.7,2.3,5.3,0.43200000000000005,1.0,2.8,0.359,0.9,1.0,0.929,0.4,1.9,2.4,1.1,0.6,0.1,1.2,2.2,6.5,3.9,Terence Davis,daviste02
232,233,Mario Hezonja_hezonma01,POR,11,0,15.7,1.8,4.6,0.392,0.5,1.9,0.23800000000000002,0.8,1.1,0.75,0.5,2.9,3.5,1.3,1.0,0.0,0.7,2.1,4.9,3.9,Mario Hezonja,hezonma01
233,234,Rondae Hollis-Jefferson_holliro01,TOR,13,1,12.5,1.5,3.4,0.455,0.1,0.5,0.14300000000000002,1.2,1.7,0.727,1.0,2.0,3.0,1.5,0.3,0.2,0.8,1.2,4.4,3.9,Rondae Hollis-Jefferson,holliro01
234,235,Markieff Morris_morrima02,LAL,27,3,17.3,2.1,4.9,0.44299999999999995,1.3,3.2,0.414,0.3,0.4,0.727,0.7,2.4,3.1,0.9,0.3,0.2,0.7,2.5,5.9,3.9,Markieff Morris,morrima02
235,236,DeMarre Carroll_carrode01,HOU,5,0,13.0,1.0,2.8,0.35700000000000004,0.2,1.2,0.16699999999999998,1.0,1.2,0.833,0.2,2.0,2.2,1.6,0.8,0.2,0.2,1.0,3.2,3.8,DeMarre Carroll,carrode01
236,237,Anthony Tolliver_tollian01,MEM,8,4,17.5,1.4,3.4,0.40700000000000003,1.3,3.0,0.41700000000000004,0.4,0.5,0.75,0.5,2.1,2.6,1.1,0.5,0.0,0.5,1.3,4.4,3.8,Anthony Tolliver,tollian01
237,238,Rayjon Tucker_tuckera01,UTA,8,0,11.8,1.8,3.6,0.483,0.5,1.8,0.28600000000000003,2.0,2.3,0.889,0.1,0.8,0.9,0.4,0.0,0.1,0.8,0.5,6.0,3.8,Rayjon Tucker,tuckera01
238,239,Sterling Brown_brownst02,MIL,8,0,13.1,1.9,4.9,0.385,1.0,2.9,0.348,0.6,0.6,1.0,0.4,2.0,2.4,0.6,0.9,0.0,0.8,1.1,5.4,3.7,Sterling Brown,brownst02
239,240,Mike Muscala_muscami01,OKC,8,2,12.4,1.8,4.0,0.43799999999999994,1.5,3.0,0.5,0.0,0.0,,0.4,1.9,2.3,0.9,0.1,0.1,0.4,1.1,5.0,3.7,Mike Muscala,muscami01
240,241,Matt Thomas_thomama02,TOR,18,1,11.3,1.8,3.3,0.5329999999999999,0.9,2.0,0.47200000000000003,0.1,0.1,1.0,0.2,1.3,1.5,0.7,0.2,0.1,0.3,0.7,4.6,3.7,Matt Thomas,thomama02
241,242,Jarrod Uthoff_uthofja01,WAS,3,0,13.1,2.0,3.7,0.545,1.0,1.7,0.6,0.0,0.0,,0.3,1.3,1.7,0.0,0.0,0.0,0.0,0.3,5.0,3.7,Jarrod Uthoff,uthofja01
242,243,Justin Wright-Foreman_wrighju02,UTA,3,0,14.5,2.3,6.7,0.35,0.7,3.3,0.2,1.0,1.3,0.75,0.0,1.7,1.7,2.3,0.7,0.0,1.0,1.7,6.3,3.6,Justin Wright-Foreman,wrighju02
243,244,Thanasis Antetokounmpo_antetth01,MIL,2,0,17.9,2.5,6.0,0.41700000000000004,0.0,1.5,0.0,0.0,1.0,0.0,0.5,2.0,2.5,3.0,0.5,0.0,0.5,2.5,5.0,3.5,Thanasis Antetokounmpo,antetth01
