,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
107,108,Al Horford\horfoal01,PHI,11,7,27.8,3.8,7.3,0.525,0.9,2.1,0.435,0.9,1.3,0.7140000000000001,1.8,4.8,6.6,3.2,0.1,1.0,1.6,2.5,9.5,8.8
108,109,Danuel House\houseda01,HOU,14,9,32.4,4.4,10.1,0.43,2.5,6.9,0.361,1.1,1.3,0.833,0.8,4.4,5.2,1.4,0.8,0.1,0.9,2.5,12.3,8.8
109,110,Frank Mason\masonfr01,MIL,5,0,13.5,3.6,6.4,0.563,0.8,2.2,0.364,1.6,2.6,0.615,0.4,1.8,2.2,3.8,0.6,0.2,1.0,1.4,9.6,8.8
110,111,Cameron Payne\payneca01,PHO,8,0,22.9,4.1,8.5,0.485,1.9,3.6,0.517,0.8,0.9,0.857,0.5,3.4,3.9,3.0,1.0,0.3,1.4,2.5,10.9,8.8
111,112,Norman Powell\powelno01,TOR,19,3,25.4,4.6,9.8,0.473,1.9,4.7,0.41600000000000004,2.3,2.7,0.8270000000000001,0.4,2.5,2.9,1.3,0.6,0.4,1.3,2.3,13.5,8.8
112,113,Duncan Robinson\robindu01,MIA,29,29,28.2,3.9,8.6,0.44799999999999995,3.1,7.6,0.406,1.8,2.0,0.912,0.2,2.5,2.7,1.7,0.5,0.3,0.9,2.7,12.6,8.8
113,114,Jerome Robinson\robinje01,WAS,8,2,28.9,5.0,11.8,0.426,2.3,6.1,0.36700000000000005,2.5,3.5,0.7140000000000001,0.5,2.4,2.9,2.8,0.8,0.4,1.9,3.6,14.8,8.8
114,115,Ben Simmons\simmobe01,PHI,3,3,28.8,4.7,10.0,0.467,0.0,0.3,0.0,2.3,4.7,0.5,1.7,5.3,7.0,4.3,1.3,0.3,2.7,4.3,11.7,8.6
115,116,Monte Morris\morrimo01,DEN,27,8,23.7,3.9,8.0,0.484,0.9,2.5,0.33799999999999997,1.9,2.3,0.852,0.3,1.7,2.0,2.9,0.5,0.1,0.7,1.1,10.5,8.5
116,117,Jerami Grant\grantje01,DEN,26,18,33.4,4.3,9.7,0.442,1.6,4.9,0.32299999999999995,2.6,3.0,0.8590000000000001,0.5,2.7,3.2,1.3,0.7,0.8,1.3,2.8,12.7,8.4
117,118,Daniel Theis\theisda01,BOS,24,24,27.7,3.6,6.7,0.534,0.4,1.7,0.244,1.3,1.7,0.78,1.8,5.2,7.0,1.7,0.3,1.3,0.9,3.5,8.9,8.4
118,119,Darius Bazley\bazleda01,OKC,15,1,23.1,3.3,7.9,0.424,2.0,4.2,0.47600000000000003,1.3,1.7,0.8,0.7,5.7,6.5,1.2,0.2,0.6,0.7,0.8,10.0,8.3
119,120,Josh Hart\hartjo01,NOP,8,2,24.0,3.1,6.4,0.49,1.3,3.6,0.345,2.1,3.0,0.708,0.9,6.0,6.9,1.8,0.5,0.3,1.3,2.0,9.6,8.3
120,121,Marco Belinelli\belinma01,SAS,5,0,21.0,3.4,8.6,0.395,2.0,4.6,0.435,3.2,3.4,0.941,0.6,1.2,1.8,1.0,0.4,0.0,0.6,0.8,12.0,8.2
121,122,Jevon Carter\carteje01,PHO,8,0,23.9,2.4,4.8,0.5,2.0,3.6,0.552,0.3,0.3,1.0,0.6,1.9,2.5,2.4,1.1,0.5,0.1,1.3,7.0,8.1
122,123,Patty Mills\millspa02,SAS,3,0,18.3,3.7,7.3,0.5,2.0,4.7,0.429,1.3,1.3,1.0,1.0,2.0,3.0,2.0,0.3,0.0,1.0,2.3,10.7,8.1
123,124,Shake Milton\miltosh01,PHI,12,12,26.6,3.9,8.7,0.452,1.7,4.5,0.37,1.5,1.8,0.857,0.4,2.3,2.8,3.7,0.3,0.1,1.3,3.0,11.0,7.8
124,125,Aaron Holiday\holidaa01,IND,12,9,26.7,3.6,7.3,0.489,0.9,2.3,0.40700000000000003,1.3,1.7,0.75,0.2,2.3,2.4,3.5,1.2,0.3,1.4,2.3,9.3,7.7
125,126,Raul Neto\netora01,PHI,7,0,18.4,3.6,8.0,0.446,1.1,3.1,0.364,1.9,2.3,0.813,0.0,1.7,1.7,3.0,0.4,0.1,0.9,1.0,10.1,7.7
126,127,Seth Curry\curryse01,DAL,11,5,27.3,4.5,8.6,0.516,1.7,3.8,0.452,1.0,1.3,0.7859999999999999,0.3,1.3,1.5,1.2,0.7,0.1,0.9,2.4,11.6,7.6
127,128,Markelle Fultz\fultzma01,ORL,13,6,25.4,4.8,12.0,0.40399999999999997,0.9,2.5,0.364,1.5,1.9,0.8,0.5,2.3,2.8,4.7,0.9,0.3,2.2,2.8,12.2,7.6
128,129,George Hill\hillge01,MIL,17,3,25.7,2.8,6.3,0.449,1.1,3.1,0.34600000000000003,2.2,2.6,0.841,0.6,2.2,2.8,3.5,0.6,0.1,1.4,1.5,8.9,7.6
129,130,Drew Eubanks\eubandr01,SAS,8,0,17.7,2.8,4.9,0.564,0.0,0.0,,1.5,1.9,0.8,2.5,3.8,6.3,1.3,0.4,1.4,1.4,2.0,7.0,7.5
130,131,Buddy Hield\hieldbu01,SAC,8,0,21.4,5.3,12.5,0.42,3.4,8.8,0.386,0.4,0.6,0.6,0.0,2.8,2.8,2.0,0.8,0.0,2.3,1.9,14.3,7.5
131,132,Hassan Whiteside\whiteha01,POR,11,3,18.5,2.8,4.5,0.62,0.1,0.1,1.0,1.6,2.5,0.643,1.9,4.5,6.5,0.5,0.3,1.7,0.8,3.1,7.4,7.5
132,133,Boban Marjanović\marjabo01,DAL,13,3,12.8,3.2,5.2,0.618,0.0,0.2,0.0,1.1,1.5,0.737,1.5,4.6,6.1,0.9,0.1,0.4,0.5,1.4,7.5,7.3
133,134,Garrett Temple\templga01,BRK,11,8,29.1,3.7,10.2,0.366,2.2,6.9,0.316,1.7,1.8,0.95,0.1,3.5,3.5,2.1,0.7,0.4,1.0,2.3,11.4,7.3
134,135,Zylan Cheatham\cheatzy01,NOP,1,0,20.4,4.0,4.0,1.0,0.0,0.0,,0.0,0.0,,2.0,1.0,3.0,1.0,1.0,0.0,1.0,5.0,8.0,7.2
135,136,Frank Jackson\jacksfr01,NOP,8,1,17.6,4.4,9.3,0.473,1.0,3.0,0.33299999999999996,1.0,1.4,0.727,0.4,1.1,1.5,2.5,0.3,0.0,0.8,1.3,10.8,7.2
136,137,Montrezl Harrell\harremo01,LAC,13,0,18.7,3.6,6.3,0.573,0.1,0.4,0.2,3.2,5.2,0.603,0.8,2.1,2.9,0.4,0.4,0.5,0.9,2.2,10.5,7.1
137,138,Kyle Kuzma\kuzmaky01,LAL,28,2,24.4,4.1,9.3,0.44,1.5,4.3,0.353,1.7,2.2,0.758,0.8,2.6,3.4,1.0,0.5,0.4,1.0,2.5,11.3,7.1
138,139,Kelly Olynyk\olynyke01,MIA,25,3,18.8,3.1,7.0,0.44299999999999995,1.3,3.9,0.327,1.6,1.8,0.848,0.8,4.2,5.0,1.5,0.4,0.5,0.8,2.6,9.1,7.1
139,140,Richaun Holmes\holmeri01,SAC,5,5,23.3,2.6,4.6,0.565,0.0,0.0,,2.6,3.6,0.722,1.8,4.8,6.6,0.6,0.4,0.2,0.6,3.4,7.8,6.9
140,141,Khem Birch\birchkh01,ORL,13,0,18.0,1.8,3.2,0.5710000000000001,0.0,0.0,,2.7,3.5,0.778,2.3,2.7,5.0,1.7,0.4,0.2,1.0,2.2,6.4,6.8
141,142,Glenn Robinson\robingl02,PHI,2,0,21.4,3.5,7.0,0.5,1.5,3.0,0.5,1.0,1.5,0.667,1.5,3.5,5.0,0.0,0.5,0.0,1.0,1.5,9.5,6.8
142,143,Lonnie Walker\walkelo01,SAS,8,8,27.6,4.5,11.3,0.4,1.5,3.8,0.4,0.8,1.0,0.75,0.4,2.6,3.0,2.8,0.5,0.1,1.6,1.0,11.3,6.6
143,144,Lonzo Ball\balllo01,NOP,7,7,29.8,2.6,8.4,0.305,1.3,4.6,0.281,0.7,1.3,0.556,1.1,3.9,5.0,6.6,1.1,1.1,3.0,2.6,7.1,6.5
144,145,Kentavious Caldwell-Pope\caldwke01,LAL,27,27,28.4,3.6,8.5,0.41700000000000004,1.9,5.1,0.365,1.0,1.3,0.794,0.3,1.7,2.0,1.3,0.9,0.2,0.8,1.9,10.0,6.4
145,146,Ed Davis\davised01,UTA,3,1,11.8,2.7,4.0,0.667,0.0,0.0,,0.7,1.0,0.667,2.0,1.3,3.3,1.3,0.3,0.0,0.0,2.0,6.0,6.4
146,147,Sindarius Thornwell\thornsi01,NOP,2,0,17.7,3.0,5.5,0.545,1.0,2.0,0.5,1.0,2.0,0.5,0.0,2.0,2.0,2.0,0.5,0.5,1.0,1.0,8.0,6.4
147,148,James Ennis\ennisja01,ORL,13,13,25.5,3.4,7.7,0.44,0.9,3.5,0.261,1.8,2.2,0.7929999999999999,1.2,4.5,5.8,1.2,0.8,0.3,1.6,3.6,9.5,6.3
148,149,Maxi Kleber\klebima01,DAL,14,6,28.4,2.6,6.2,0.414,1.2,4.2,0.28800000000000003,1.4,1.8,0.76,1.6,3.5,5.1,1.4,0.5,0.9,1.0,3.1,7.7,6.3
149,150,T.J. McConnell\mccontj01,IND,11,0,15.1,2.5,5.2,0.491,0.0,0.2,0.0,0.5,0.7,0.75,0.5,2.4,2.9,4.2,1.1,0.0,1.5,0.7,5.6,6.3
150,151,Nickeil Alexander-Walker\alexani01,NOP,6,1,15.0,3.5,6.5,0.5379999999999999,1.0,2.7,0.375,1.3,1.5,0.889,0.2,0.5,0.7,2.5,1.0,0.2,2.3,1.8,9.3,6.2
151,152,Jeremiah Martin\martije02,BRK,9,0,12.2,3.0,6.9,0.435,0.9,2.4,0.364,1.3,1.7,0.8,0.1,1.1,1.2,2.2,0.7,0.2,0.7,1.0,8.2,6.2
152,153,Hamidou Diallo\diallha01,OKC,11,0,20.2,3.4,8.0,0.42,0.9,2.5,0.37,1.3,2.3,0.56,1.5,3.1,4.6,1.4,0.8,0.3,1.5,1.7,8.9,6.1
153,154,Cory Joseph\josepco01,SAC,8,4,27.6,2.0,5.4,0.37200000000000005,1.1,3.1,0.36,1.5,1.5,1.0,0.9,2.3,3.1,4.1,0.9,0.0,2.0,1.5,6.6,6.1
154,155,Kyle O'Quinn\oquinky01,PHI,4,1,15.1,1.8,3.3,0.5379999999999999,0.0,1.0,0.0,0.3,0.3,1.0,0.5,4.3,4.8,4.3,0.5,0.5,1.0,1.3,3.8,6.1
155,156,Patrick Beverley\beverpa01,LAC,11,10,19.0,2.5,5.0,0.509,1.2,2.7,0.433,0.5,0.9,0.6,0.9,2.7,3.6,2.1,0.8,0.3,0.8,3.4,6.8,6.0
156,157,Devontae Cacok\cacokde01,LAL,1,0,8.9,3.0,6.0,0.5,0.0,0.0,,0.0,0.0,,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0
157,158,Paul Millsap\millspa01,DEN,26,26,24.0,2.7,6.5,0.414,0.8,2.3,0.35600000000000004,2.0,2.7,0.768,1.4,3.3,4.7,1.4,0.7,0.4,1.3,2.8,8.2,6.0
158,159,Royce O'Neale\onealro01,UTA,14,14,31.1,2.1,5.4,0.395,1.4,3.9,0.364,0.6,0.9,0.75,0.6,5.7,6.3,2.6,1.5,0.4,1.7,3.4,6.4,6.0
159,160,Robert Williams\williro04,BOS,19,0,11.3,2.4,3.0,0.789,0.0,0.1,0.0,0.5,0.8,0.667,1.5,2.3,3.7,0.8,0.3,0.7,0.4,1.5,5.3,6.0
160,161,Kyle Anderson\anderky01,MEM,8,8,23.7,2.4,6.4,0.373,1.0,2.9,0.348,1.1,1.5,0.75,0.5,3.0,3.5,3.8,1.0,0.8,1.4,3.3,6.9,5.9
161,162,Gary Clark\clarkga01,ORL,12,9,23.7,2.3,5.4,0.415,1.8,4.8,0.386,0.4,0.5,0.833,1.2,3.3,4.4,0.8,0.5,0.8,0.6,1.8,6.8,5.9
162,163,Justin Holiday\holidju01,IND,12,6,28.3,2.3,6.3,0.373,1.7,4.9,0.33899999999999997,0.7,0.9,0.727,0.5,3.4,3.9,0.8,1.5,0.8,0.6,2.2,7.0,5.9
163,164,Kent Bazemore\bazemke01,SAC,4,0,20.9,3.8,9.8,0.385,1.5,4.0,0.375,1.0,1.3,0.8,0.8,3.5,4.3,2.0,1.0,0.3,1.5,3.5,10.0,5.8
164,165,Isaac Bonga\bongais01,WAS,8,8,28.0,2.8,6.3,0.44,0.4,2.0,0.188,2.1,2.6,0.81,1.3,3.6,4.9,1.9,1.0,0.1,2.1,2.5,8.0,5.8
165,166,Chris Chiozza\chiozch01,BRK,11,2,19.7,2.8,7.7,0.365,1.3,4.3,0.298,0.5,0.6,0.7140000000000001,0.4,1.8,2.2,4.7,1.0,0.2,1.6,1.9,7.4,5.8
166,167,Jaxson Hayes\hayesja02,NOP,8,2,16.1,2.4,3.0,0.792,0.0,0.0,,1.8,2.1,0.8240000000000001,1.9,2.6,4.5,0.6,0.4,0.3,1.5,2.4,6.5,5.8
167,168,Mike Scott\scottmi01,PHI,9,1,12.0,2.2,4.0,0.556,0.8,1.7,0.467,1.0,1.2,0.818,1.0,2.4,3.4,1.0,0.2,0.0,0.2,1.4,6.2,5.8
168,169,Zach Collins\colliza01,POR,8,8,25.4,2.9,6.1,0.469,0.5,1.5,0.33299999999999996,0.0,0.3,0.0,2.6,4.5,7.1,1.3,0.6,0.4,1.0,3.1,6.3,5.7
169,170,P.J. Tucker\tuckepj01,HOU,20,20,33.9,2.5,7.0,0.35700000000000004,1.9,5.5,0.33899999999999997,0.1,0.2,0.5,1.7,4.4,6.1,1.6,1.0,0.4,0.9,3.4,7.0,5.7
170,171,Brad Wanamaker\wanambr01,BOS,25,0,17.1,2.2,4.2,0.529,0.6,1.6,0.41,1.3,1.4,0.889,0.2,2.0,2.2,2.0,0.8,0.2,1.0,1.8,6.3,5.7
171,172,Gorgui Dieng\dienggo01,MEM,5,0,16.9,1.6,4.2,0.381,0.6,2.0,0.3,3.4,3.6,0.9440000000000001,0.8,2.8,3.6,0.4,0.6,0.6,1.0,2.4,7.2,5.6
172,173,JaMychal Green\greenja01,LAC,21,1,19.0,2.7,5.0,0.5429999999999999,1.3,2.7,0.491,0.5,0.6,0.846,0.7,3.5,4.2,0.6,0.3,0.3,0.7,2.7,7.3,5.6
173,174,Chimezie Metu\metuch01,SAS,2,0,16.4,2.0,3.5,0.5710000000000001,0.0,0.5,0.0,2.0,2.5,0.8,1.0,2.5,3.5,2.0,1.0,1.0,2.5,1.5,6.0,5.6
174,175,Elie Okobo\okoboel01,PHO,1,0,12.0,0.0,0.0,,0.0,0.0,,4.0,4.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,5.6
175,176,Luka Šamanić\samanlu01,SAS,2,1,18.2,2.5,6.0,0.41700000000000004,1.5,3.0,0.5,1.5,2.0,0.75,0.5,3.5,4.0,1.5,0.0,1.0,1.0,3.0,8.0,5.6
176,177,Dwight Howard\howardw01,LAL,25,7,15.8,2.1,3.1,0.688,0.0,0.1,0.5,1.8,3.2,0.5820000000000001,1.9,3.4,5.3,0.5,0.5,0.4,1.1,3.1,6.1,5.5
177,178,Patrick Patterson\pattepa01,LAC,10,0,17.9,2.2,4.8,0.45799999999999996,1.5,3.3,0.455,0.8,0.9,0.889,0.5,2.6,3.1,1.4,0.1,0.0,0.3,1.4,6.7,5.5
178,179,Alex Caruso\carusal01,LAL,27,2,24.2,2.1,5.3,0.40299999999999997,0.7,2.7,0.257,1.3,1.8,0.7290000000000001,0.7,1.5,2.2,3.0,1.2,0.5,1.4,2.5,6.3,5.4
179,180,J.J. Barea\bareajo01,DAL,4,2,16.1,2.8,7.3,0.379,0.8,2.3,0.33299999999999996,1.5,1.8,0.857,0.0,1.3,1.3,3.3,0.3,0.0,1.0,0.8,7.8,5.3
180,181,Michael Carter-Williams\cartemi01,ORL,3,0,20.0,2.0,6.0,0.33299999999999996,0.7,2.3,0.28600000000000003,2.3,2.7,0.875,0.7,1.7,2.3,2.3,1.3,0.7,1.3,3.0,7.0,5.3
181,182,Danny Green\greenda02,LAL,28,28,24.4,2.8,7.8,0.35600000000000004,1.6,5.1,0.322,0.4,0.7,0.579,1.1,1.9,3.0,1.1,1.0,0.7,0.8,2.0,7.6,5.3
182,183,Udonis Haslem\hasleud01,MIA,1,1,23.5,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,,1.0,7.0,8.0,0.0,0.0,0.0,1.0,3.0,7.0,5.3
183,184,Talen Horton-Tucker\hortota01,LAL,6,1,15.5,3.3,6.8,0.488,1.0,2.8,0.353,0.3,0.7,0.5,0.3,1.7,2.0,0.7,1.5,0.2,1.0,2.3,8.0,5.3
184,185,Javonte Green\greenja02,BOS,5,1,11.8,3.0,6.0,0.5,0.8,2.4,0.33299999999999996,1.0,1.2,0.833,1.2,1.6,2.8,0.6,0.2,0.2,1.0,1.4,7.8,5.2
185,186,Enes Kanter\kanteen01,BOS,18,1,10.8,2.5,4.4,0.57,0.1,0.1,1.0,0.7,1.1,0.6,2.3,2.2,4.4,0.8,0.1,0.2,0.4,1.9,5.7,5.2
186,187,Chris Silva\silvach01,MIA,3,0,13.2,1.7,3.0,0.556,0.0,0.3,0.0,1.0,2.0,0.5,2.0,3.7,5.7,0.7,0.0,1.0,0.3,1.7,4.3,5.2
187,188,Pat Connaughton\connapa01,MIL,16,3,18.4,2.1,4.7,0.44,1.2,3.3,0.365,0.4,0.4,1.0,0.6,3.4,4.0,1.4,0.4,0.2,0.6,1.4,5.7,5.1
188,189,Marvin Williams\willima02,MIL,16,0,18.6,1.9,4.1,0.462,0.9,2.2,0.4,0.3,0.4,0.833,1.4,3.8,5.2,0.8,0.4,0.4,0.5,1.4,4.9,5.1
189,190,Tony Bradley\bradlto01,UTA,14,1,12.6,1.8,3.1,0.581,0.1,0.1,1.0,0.6,0.9,0.6920000000000001,2.2,3.1,5.3,0.5,0.3,0.7,0.8,1.5,4.4,5.0
190,191,Marc Gasol\gasolma01,TOR,19,19,21.0,2.4,5.6,0.42100000000000004,0.6,2.5,0.22899999999999998,1.1,1.5,0.75,0.3,4.7,5.0,2.7,0.6,0.6,1.7,2.9,6.4,5.0
191,192,Stanley Johnson\johnsst04,TOR,8,0,9.2,2.4,4.9,0.48700000000000004,0.9,2.0,0.43799999999999994,0.6,1.4,0.455,0.6,1.8,2.4,2.3,0.3,0.3,1.0,1.1,6.3,5.0
192,193,Rodions Kurucs\kurucro01,BRK,12,6,20.1,2.5,5.3,0.47600000000000003,0.7,2.8,0.242,0.6,1.0,0.583,0.8,3.6,4.4,1.8,0.8,0.3,1.2,2.8,6.3,5.0
193,194,Yogi Ferrell\ferreyo01,SAC,6,0,7.6,2.0,3.2,0.632,0.8,1.7,0.5,0.7,0.8,0.8,0.0,0.2,0.2,1.7,0.7,0.0,0.5,1.2,5.5,4.9
194,195,Furkan Korkmaz\korkmfu01,PHI,12,0,16.8,1.7,4.7,0.35700000000000004,1.4,3.8,0.37799999999999995,2.3,2.9,0.7709999999999999,0.2,2.0,2.2,0.9,0.5,0.1,0.8,1.0,7.0,4.9
195,196,Georges Niang\niangge01,UTA,15,1,17.7,2.9,6.7,0.426,1.7,4.6,0.36200000000000004,0.2,0.3,0.75,0.5,1.7,2.2,0.9,0.3,0.1,0.4,1.4,7.6,4.9
196,197,JaKarr Sampson\sampsja02,IND,12,2,15.0,2.5,4.2,0.6,0.0,0.0,,0.6,0.6,1.0,0.5,3.0,3.5,1.3,0.8,0.3,0.8,2.6,5.6,4.9
197,198,Luguentz Dort\dortlu01,OKC,13,13,27.5,3.7,10.5,0.35,1.6,6.0,0.26899999999999996,1.7,2.5,0.688,1.1,2.7,3.8,0.9,0.8,0.6,1.7,3.4,10.7,4.8
198,199,Melvin Frazier\frazime01,ORL,4,0,18.7,2.3,4.3,0.529,1.0,2.3,0.444,0.0,0.0,,0.3,1.3,1.5,0.5,1.3,0.0,0.5,0.8,5.5,4.8
199,200,Wesley Iwundu\iwundwe01,ORL,12,3,18.3,2.2,4.9,0.441,0.9,1.8,0.5,1.8,2.4,0.7240000000000001,0.2,2.3,2.4,1.5,0.3,0.3,0.9,1.9,7.0,4.8
200,201,Džanan Musa\musadz01,BRK,8,0,15.3,2.0,5.5,0.364,0.5,2.4,0.21100000000000002,2.8,3.8,0.733,0.4,1.9,2.3,2.0,0.3,0.1,1.3,0.9,7.3,4.8
201,202,Jamal Crawford\crawfja01,BRK,1,0,6.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,4.7
202,203,Donta Hall\halldo01,BRK,8,0,13.1,2.1,2.9,0.7390000000000001,0.0,0.0,,0.8,2.0,0.375,1.4,2.1,3.5,0.3,0.3,0.9,0.5,1.9,5.0,4.7
203,204,Ben McLemore\mclembe01,HOU,19,4,16.4,2.5,6.1,0.41700000000000004,2.2,5.2,0.418,0.2,0.3,0.6,0.2,1.4,1.5,0.5,0.6,0.2,0.4,1.7,7.4,4.7
204,205,Chris Boucher\bouchch01,TOR,14,0,9.8,1.8,3.6,0.5,0.9,1.7,0.5,0.6,1.0,0.643,1.1,2.2,3.4,0.3,0.1,0.7,0.4,1.1,5.1,4.6
205,206,Harry Giles\gilesha01,SAC,8,0,11.0,2.9,5.5,0.523,0.0,0.3,0.0,0.6,0.8,0.833,1.3,2.4,3.6,1.4,0.1,0.5,1.1,2.4,6.4,4.6
206,207,E'Twaun Moore\mooreet01,NOP,5,1,12.4,2.4,5.4,0.444,0.6,1.4,0.429,0.4,0.4,1.0,0.4,1.2,1.6,1.0,0.8,0.2,0.4,0.6,5.8,4.6
207,208,Miye Oni\onimi01,UTA,7,1,16.1,2.1,5.1,0.41700000000000004,1.1,3.1,0.364,0.6,0.7,0.8,1.0,1.7,2.7,0.6,0.7,0.4,0.6,1.6,6.0,4.6
208,209,Austin Rivers\riverau01,HOU,20,0,20.1,2.4,6.5,0.369,1.1,3.7,0.301,1.4,1.7,0.8240000000000001,0.2,3.0,3.2,1.7,0.7,0.1,1.2,2.0,7.3,4.6
209,210,Donte DiVincenzo\divindo01,MIL,17,3,19.0,2.7,6.4,0.42200000000000004,0.8,2.8,0.298,0.9,1.6,0.5710000000000001,0.9,2.7,3.6,1.8,0.7,0.3,1.6,2.2,7.2,4.5
210,211,DaQuan Jeffries\jeffrda01,SAC,7,0,17.4,2.4,4.7,0.515,0.6,2.0,0.28600000000000003,0.7,0.9,0.833,0.3,2.1,2.4,0.9,0.4,0.1,0.3,2.3,6.1,4.5
211,212,Reggie Jackson\jacksre01,LAC,20,6,17.8,2.4,5.9,0.41,1.5,3.2,0.45299999999999996,0.5,0.6,0.909,0.2,2.1,2.3,1.8,0.3,0.1,0.8,1.9,6.8,4.4
212,213,Alize Johnson\johnsal02,IND,5,1,12.8,1.0,2.8,0.35700000000000004,0.6,1.6,0.375,0.6,0.8,0.75,1.8,4.2,6.0,1.0,0.6,0.4,0.8,1.2,3.2,4.4
213,214,Doug McDermott\mcderdo01,IND,11,0,16.8,2.7,6.5,0.423,1.1,3.5,0.308,0.5,0.5,0.833,0.3,1.6,1.9,0.8,0.4,0.1,0.3,1.3,7.0,4.4
214,215,Shabazz Napier\napiesh01,WAS,5,2,22.1,3.6,8.6,0.419,1.0,3.6,0.278,2.0,2.4,0.833,0.2,2.2,2.4,1.8,0.6,0.4,3.4,1.6,10.2,4.4
215,216,Dion Waiters\waitedi01,LAL,12,0,16.9,2.9,7.1,0.41200000000000003,0.6,2.8,0.20600000000000002,1.3,1.5,0.889,0.2,1.1,1.3,1.6,0.4,0.4,1.2,1.5,7.8,4.4
216,217,Delon Wright\wrighde01,DAL,12,0,17.6,1.4,3.3,0.425,0.3,1.0,0.25,0.8,1.3,0.6,0.4,1.6,2.0,2.6,1.2,0.1,0.8,1.0,3.8,4.4
